procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 14187088  67884 1033156    0    0     0   168  158 1444  2  0 98  0  0 2024-05-16 19:32:16
 0  0      0 14187088  67884 1033156    0    0     0     0  124 1390  3  0 97  0  0 2024-05-16 19:32:17
 0  0      0 14186836  67892 1033156    0    0     0    76  129 1394  2  0 98  0  0 2024-05-16 19:32:18
 0  0      0 14186836  67892 1033168    0    0     0     0  322 1970  2  0 97  0  0 2024-05-16 19:32:19
 0  0      0 14186584  67892 1033184    0    0     0     0  148 1475  2  1 98  0  0 2024-05-16 19:32:20
 0  0      0 14182488  67892 1033180    0    0     0   176  169 1575  1  1 98  0  0 2024-05-16 19:32:21
 0  0      0 14182488  67892 1033196    0    0     0     0  129 1375  1  0 98  0  0 2024-05-16 19:32:22
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 14182488  67900 1033188    0    0     0    60  120 1422  2  0 98  0  0 2024-05-16 19:32:23
 0  0      0 14182488  67900 1033204    0    0     0     0  129 1433  3  0 97  0  0 2024-05-16 19:32:24
 0  0      0 14182488  67900 1033212    0    0     0     0  128 1410  2  0 98  0  0 2024-05-16 19:32:25
 0  0      0 14182488  67900 1033212    0    0     0    76  127 1407  1  0 98  0  0 2024-05-16 19:32:26
 0  0      0 14182488  67900 1033212    0    0     0     0  136 1404  1  1 98  0  0 2024-05-16 19:32:27
 0  0      0 14182488  67908 1033216    0    0     0    40  137 1400  2  1 97  0  0 2024-05-16 19:32:28
 0  0      0 14182488  67908 1033232    0    0     0     0  144 1420  1  0 98  0  0 2024-05-16 19:32:29
 0  0      0 14182488  67908 1033240    0    0     0     0  132 1421  2  1 97  0  0 2024-05-16 19:32:30
 1  0      0 14182488  67908 1033244    0    0     0   156  153 1488  2  0 98  0  0 2024-05-16 19:32:31
 0  0      0 14182488  67908 1033252    0    0     0     0  135 1398  1  1 98  0  0 2024-05-16 19:32:32
 0  0      0 14182236  67916 1033252    0    0     0    52  134 1395  2  1 97  0  0 2024-05-16 19:32:33
 0  0      0 14182236  67916 1033264    0    0     0     0  124 1364  2  1 97  0  0 2024-05-16 19:32:34
 0  0      0 14182236  67916 1033264    0    0     0     0  124 1352  1  0 99  0  0 2024-05-16 19:32:35
 0  0      0 14182236  67916 1033272    0    0     0    76  122 1382  2  1 97  0  0 2024-05-16 19:32:36
 0  0      0 14182236  67916 1033276    0    0     0     0  155 1493  2  1 98  0  0 2024-05-16 19:32:37
 0  0      0 14181984  67924 1033276    0    0     0    40  135 1424  1  0 99  0  0 2024-05-16 19:32:38
