procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30486048  64132 1076292    0    0     0     0  167 1538  1  0 99  0  0 2024-05-16 19:32:15
 1  0      0 30485796  64132 1076296    0    0     0     0  146 1452  1  0 99  0  0 2024-05-16 19:32:16
 1  1      0 30485828  64140 1076288    0    0     0    60  347 2082  1  0 99  0  0 2024-05-16 19:32:17
 0  0      0 30487200  64140 1076296    0    0     0     0  215 1524  1  0 99  0  0 2024-05-16 19:32:18
 0  0      0 30487312  64140 1076300    0    0     0     0  158 1454  1  0 99  0  0 2024-05-16 19:32:19
 0  0      0 30487312  64140 1076304    0    0     0     0  146 1574  1  0 99  0  0 2024-05-16 19:32:20
 0  0      0 30487276  64140 1076304    0    0     0     0  149 1466  0  0 99  0  0 2024-05-16 19:32:21
 0  1      0 30487044  64148 1076300    0    0     0    36  158 1568  0  0 99  0  0 2024-05-16 19:32:22
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30487048  64148 1076308    0    0     0     0  147 1417  1  0 99  0  0 2024-05-16 19:32:23
 0  0      0 30487048  64148 1076308    0    0     0   192  153 1471  1  0 99  0  0 2024-05-16 19:32:24
 0  0      0 30487048  64148 1076312    0    0     0     0  158 1508  1  0 99  0  0 2024-05-16 19:32:25
 0  0      0 30487048  64148 1076316    0    0     0     0  142 1489  1  0 99  0  0 2024-05-16 19:32:26
 0  0      0 30486796  64156 1076312    0    0     0    60  162 1536  1  0 99  0  0 2024-05-16 19:32:27
 0  0      0 30486796  64156 1076316    0    0     0     0  171 1520  1  0 99  0  0 2024-05-16 19:32:28
 0  0      0 30482624  64156 1076320    0    0     0   172  240 1513  1  0 99  0  0 2024-05-16 19:32:29
 0  0      0 30482624  64156 1076320    0    0     0     0  145 1474  1  0 99  0  0 2024-05-16 19:32:30
 0  0      0 30482624  64156 1076324    0    0     0     0  144 1473  1  0 99  0  0 2024-05-16 19:32:31
 0  0      0 30482372  64164 1076324    0    0     0    40  143 1440  0  0 99  0  0 2024-05-16 19:32:32
 0  0      0 30482372  64164 1076332    0    0     0     0  145 1480  0  0 99  0  0 2024-05-16 19:32:33
 0  0      0 30482372  64164 1076336    0    0     0     0  146 1410  1  0 99  0  0 2024-05-16 19:32:34
 0  0      0 30481116  64164 1076340    0    0     0    40  182 1537  1  0 99  0  0 2024-05-16 19:32:35
 0  0      0 30481116  64164 1076344    0    0     0     0  148 1451  1  0 99  0  0 2024-05-16 19:32:36
 0  0      0 30479604  64172 1076612    0    0   280    56  189 1539  1  0 99  0  0 2024-05-16 19:32:37
