"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","batch_size","dropout","epochs","hidden_dim1","hidden_dim2","learning_rate","method","model_type","normalization","normalization_method","parameters.activation_functions","parameters.batch_sizes","parameters.dropouts","parameters.epochss","parameters.hidden_dim1s","parameters.hidden_dim2s","parameters.learning_rates","parameters.normalization_methods","hidden_dim3","hidden_layers","optimizer","output_activation_function","parameters.hidden_dim3s","parameters.hidden_layerss","parameters.optimizers","parameters.output_activation_functions","hidden_dim_range","hidden_dim_range_max","hidden_dim_range_min","hidden_dim_strategy","momentum","nesterov","parameters.batch_size.distribution","parameters.batch_size.max","parameters.batch_size.min","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.hidden_dim_range.distribution","parameters.hidden_dim_range.max","parameters.hidden_dim_range.min","parameters.hidden_dim_range_max.distribution","parameters.hidden_dim_range_max.max","parameters.hidden_dim_range_max.min","parameters.hidden_dim_range_min.distribution","parameters.hidden_dim_range_min.max","parameters.hidden_dim_range_min.min","parameters.hidden_dim_strategys","parameters.hidden_layers.distribution","parameters.hidden_layers.max","parameters.hidden_layers.min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.momentum.distribution","parameters.momentum.max","parameters.momentum.min","parameters.nesterovs","absolute_dim_range","absolute_dim_range_max","absolute_dim_range_min","actual_hidden_layers","hidden_dim_initial_range","hidden_dim_initial_range_max","hidden_dim_initial_range_min","hidden_dim_random_scale_factor_range","hidden_dim_random_scale_factor_range_max","hidden_dim_random_scale_factor_range_min","hidden_dim_scale_factor_fixed","hidden_layers_max","hidden_layers_min","parameters.absolute_dim_range.distribution","parameters.absolute_dim_range.max","parameters.absolute_dim_range.min","parameters.absolute_dim_range_max","parameters.absolute_dim_range_min","parameters.hidden_dim_initial_range.distribution","parameters.hidden_dim_initial_range.max","parameters.hidden_dim_initial_range.min","parameters.hidden_dim_initial_range_max","parameters.hidden_dim_initial_range_min","parameters.hidden_dim_random_scale_factor_range.distribution","parameters.hidden_dim_random_scale_factor_range.max","parameters.hidden_dim_random_scale_factor_range.min","parameters.hidden_dim_random_scale_factor_range_max","parameters.hidden_dim_random_scale_factor_range_min","parameters.hidden_dim_scale_factor_fixeds","parameters.hidden_layers_max","parameters.hidden_layers_min","parameters.randomize_hidden_dim_strategys","parameters.scaled_layerss","randomize_hidden_dim_strategy","scaled_layers","parameters.randomize_row_deletions","parameters.randomize_time_shifts","parameters.row_deletion_range_max","parameters.row_deletion_range_min","parameters.time_shift_range_max","parameters.time_shift_range_min","randomize_row_deletion","randomize_time_shift","row_deletion_range_max","row_deletion_range_min","time_shift_range_max","time_shift_range_min","epoch","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy","val_loss","model_architecture","hidden_layer_1_neurons","hidden_layer_2_neurons","hidden_layer_3_neurons","hidden_layer_4_neurons","hidden_layer_5_neurons","hidden_layer_6_neurons","hidden_layer_7_neurons","combined_metric","hidden_dim_scale_factor"
"dark-sweep-1","finished","-","","","2024-08-07T15:21:51.000Z","102","8y1o2izi","hardelish","20","0.4591105676153304","10000","","","0.08905360007381155","","","","std","","","","","","","","","","","sgd","none","","","","","","","","maintain","0.7862313163325199","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","4","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","54","NaN","NaN","-Infinity","Infinity","NaN","NaN","Input Layer: 10 neurons
Hidden Layer 1: 106 neurons
Hidden Layer 2: 106 neurons
Hidden Layer 3: 76 neurons
Hidden Layer 4: 105 neurons
Output Layer: 1 neuron","106","106","76","105","","","","NaN","1.387743535438764"
"cerulean-sweep-3","finished","-","","","2024-08-07T15:24:44.000Z","32","8y1o2izi","gcu","28","0.6037920519397689","10000","","","0.037869250089412686","","","","none","","","","","","","","","","","rmsprop","none","","","","","","","","compress","0.7098454529970003","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","7","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","12","NaN","NaN","NaN","NaN","NaN","NaN","Input Layer: 10 neurons
Hidden Layer 1: 494 neurons
Hidden Layer 2: 469 neurons
Hidden Layer 3: 445 neurons
Hidden Layer 4: 422 neurons
Hidden Layer 5: 401 neurons
Hidden Layer 6: 381 neurons
Hidden Layer 7: 362 neurons
Output Layer: 1 neuron","494","469","445","422","401","381","362","NaN","1.052052293693904"
"sunny-sweep-2","finished","-","","","2024-08-07T15:23:38.000Z","60","8y1o2izi","ncu","88","0.5760840285118365","10000","","","0.07743272097398922","","","","min-max","","","","","","","","","","","adadelta","none","","","","","","","","maintain","0.07200325033577769","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","4","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","12","NaN","NaN","NaN","NaN","NaN","NaN","Input Layer: 10 neurons
Hidden Layer 1: 202 neurons
Hidden Layer 2: 202 neurons
Hidden Layer 3: 280 neurons
Hidden Layer 4: 327 neurons
Output Layer: 1 neuron","202","202","280","327","","","","NaN","1.9014337814308964"
"wobbly-sweep-4","running","-","","","2024-08-07T15:25:19.000Z","94","8y1o2izi","leaky_relu","55","0.3741252778585662","10000","","","0.09117529180115284","","","","std","","","","","","","","","","","adamw","none","","","","","","","","expand","0.4239549566526922","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","4","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 393 neurons
Hidden Layer 2: 719 neurons
Hidden Layer 3: 1024 neurons
Hidden Layer 4: 1024 neurons
Output Layer: 1 neuron","393","719","1024","1024","","","","","1.8298360163553535"
