"Name","State","Notes","User","Tags","Created","Runtime","Sweep","absolute_dim_range","absolute_dim_range_max","absolute_dim_range_min","activation_function","actual_hidden_layers","apply_penalty","batch_size","dropout","epochs","hidden_dim1","hidden_dim2","hidden_dim3","hidden_dim_initial_range","hidden_dim_initial_range_max","hidden_dim_initial_range_min","hidden_dim_random_scale_factor_range","hidden_dim_random_scale_factor_range_max","hidden_dim_random_scale_factor_range_min","hidden_dim_range","hidden_dim_range_max","hidden_dim_range_min","hidden_dim_scale_factor_fixed","hidden_dim_strategy","hidden_layers","hidden_layers_max","hidden_layers_min","huber_delta","learning_rate","loss_function","method","model_type","momentum","nesterov","normalization","normalization_method","optimizer","output_activation_function","parameters.absolute_dim_range.distribution","parameters.absolute_dim_range.max","parameters.absolute_dim_range.min","parameters.absolute_dim_range_max","parameters.absolute_dim_range_min","parameters.activation_functions","parameters.apply_penaltys","parameters.batch_size.distribution","parameters.batch_size.max","parameters.batch_size.min","parameters.batch_sizes","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.dropouts","parameters.epochs","parameters.epochss","parameters.hidden_dim1s","parameters.hidden_dim2s","parameters.hidden_dim3s","parameters.hidden_dim_initial_range.distribution","parameters.hidden_dim_initial_range.max","parameters.hidden_dim_initial_range.min","parameters.hidden_dim_initial_range_max","parameters.hidden_dim_initial_range_min","parameters.hidden_dim_random_scale_factor_range.distribution","parameters.hidden_dim_random_scale_factor_range.max","parameters.hidden_dim_random_scale_factor_range.min","parameters.hidden_dim_random_scale_factor_range_max","parameters.hidden_dim_random_scale_factor_range_min","parameters.hidden_dim_range.distribution","parameters.hidden_dim_range.max","parameters.hidden_dim_range.min","parameters.hidden_dim_range_max.distribution","parameters.hidden_dim_range_max.max","parameters.hidden_dim_range_max.min","parameters.hidden_dim_range_min.distribution","parameters.hidden_dim_range_min.max","parameters.hidden_dim_range_min.min","parameters.hidden_dim_scale_factor_fixeds","parameters.hidden_dim_strategys","parameters.hidden_layers.distribution","parameters.hidden_layers.max","parameters.hidden_layers.min","parameters.hidden_layerss","parameters.hidden_layers_max","parameters.hidden_layers_min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.learning_rates","parameters.momentum.distribution","parameters.momentum.max","parameters.momentum.min","parameters.nesterovs","parameters.normalization_methods","parameters.optimizers","parameters.output_activation_functions","parameters.penalty_factor_max","parameters.penalty_factor_min","parameters.randomize_hidden_dim_strategys","parameters.randomize_row_deletions","parameters.randomize_time_shifts","parameters.row_deletion_range_max","parameters.row_deletion_range_min","parameters.scaled_layerss","parameters.time_shift_range_max","parameters.time_shift_range_min","penalty_factor_max","penalty_factor_min","randomize_hidden_dim_strategy","randomize_row_deletion","randomize_time_shift","row_deletion_range_max","row_deletion_range_min","scaled_layers","time_shift_range_max","time_shift_range_min","combined_metric","combined_metric_accuracy","combined_metric_loss","epoch","hidden_dim_scale_factor","hidden_layer_11_weight_init","hidden_layer_13_weight_init","hidden_layer_1_neurons","hidden_layer_1_weight_init","hidden_layer_2_neurons","hidden_layer_2_weight_init","hidden_layer_3_neurons","hidden_layer_3_weight_init","hidden_layer_4_neurons","hidden_layer_4_weight_init","hidden_layer_5_neurons","hidden_layer_5_weight_init","hidden_layer_6_neurons","hidden_layer_6_weight_init","hidden_layer_7_neurons","hidden_layer_7_weight_init","hidden_layer_9_weight_init","model_architecture","output_layer_weight_init","penalty_factor","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy","val_loss"
"crimson-sweep-38","finished","-","","","2024-08-21T13:29:20.000Z","18","cx89v8ve","","1024","4","dsu","6","false","12","0.5339070100157797","10000","","","","","512","8","","2","1.01","","","","true","compress","","7","2","","0.05065430242618175","mse","","","0.6063464361816787","false","","std","adamw","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.99591689569444","0.00003100423547645429","91","1.152701174339854","","","168","Default (PyTorch)","145","Default (PyTorch)","125","Default (PyTorch)","125","Default (PyTorch)","108","Random","93","Random","","","","Input Layer: 10 neurons
Hidden Layer 1: 168 neurons
Hidden Layer 2: 145 neurons
Hidden Layer 3: 125 neurons
Hidden Layer 4: 125 neurons
Hidden Layer 5: 108 neurons
Hidden Layer 6: 93 neurons
Output Layer: 1 neuron","Default (PyTorch)","0","0.9985895427683243","0.000001989389602385927","0.9905629285354974","0.0000890583178261295","0.9985982157794984","0.000001964999000847456"
"stilted-sweep-432","finished","-","","","2024-08-21T15:46:16.000Z","10","cx89v8ve","","1024","4","gelu","3","false","30","0.2878108460574802","10000","","","","","512","8","","2","1.01","","","","false","expand","","7","2","1.6300448701504555","0.09297728989184896","huber","","","0.07925815429200272","false","","min-max","adamw","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.9937135666981296","0.000039519463219524674","96","1.3753184126674736","","","270","Random","371","Default (PyTorch)","371","Default (PyTorch)","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 270 neurons
Hidden Layer 2: 371 neurons
Hidden Layer 3: 371 neurons
Output Layer: 1 neuron","Random","0","0.9937240444538766","0.00003938761801691726","0.9936926114764698","0.00003978314998676069","0.993724044164042","0.000039387621654896066"
"legendary-sweep-34","finished","-","","","2024-08-21T04:28:22.000Z","12","ist7tium","","1024","4","dsu","3","false","71","0.21361054686018024","10000","","","","","512","8","","2","1.01","","","","true","compress","","7","2","1.1293531959909746","0.07075967400062846","huber","","","0.17405559343022145","true","","std","adamax","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.9916677235177548","0.0000859684799555301","57","1.817275265595615","","","220","Random","121","Default (PyTorch)","66","Default (PyTorch)","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 220 neurons
Hidden Layer 2: 121 neurons
Hidden Layer 3: 66 neurons
Output Layer: 1 neuron","Default (PyTorch)","0","0.9945449357268232","0.00002975772622448858","0.9859159155519096","0.0001983614347409457","0.994542319274531","0.00002978627890115604"
"vocal-sweep-83","finished","-","","","2024-08-21T13:41:59.000Z","18","cx89v8ve","","1024","4","relu","7","false","38","0.7262635835352711","10000","","","","","512","8","","2","1.01","","","","false","compress","","7","2","","0.01195436689490573","mae","","","0.6899550892659267","false","","std","adamw","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.9897566913101572","0.000105958417407237","401","1.7906790959571408","","","185","He","103","Default (PyTorch)","178","Default (PyTorch)","267","He","271","Default (PyTorch)","254","Random","186","Default (PyTorch)","","Input Layer: 10 neurons
Hidden Layer 1: 185 neurons
Hidden Layer 2: 103 neurons
Hidden Layer 3: 178 neurons
Hidden Layer 4: 267 neurons
Hidden Layer 5: 271 neurons
Hidden Layer 6: 254 neurons
Hidden Layer 7: 186 neurons
Output Layer: 1 neuron","Random","0","0.9904753861312836","0.00009071826934814452","0.9883193016679044","0.00013643871352542192","0.9904753861312836","0.00009071826934814452"
"dutiful-sweep-5","finished","-","","","2024-08-21T04:19:36.000Z","11","ist7tium","","1024","4","dsu","6","true","58","0.22738592170532076","10000","","","","","512","8","","2","1.01","","","","true","compress","","7","2","1.3353500463623522","0.07122210747338777","huber","","","0.7393660096621175","false","","std","nadam","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.9885352236220694","0.00013424631227583936","57","1.3951081271369763","","","54","Default (PyTorch)","38","Random","53","Random","53","Random","37","Random","37","Random","","","","Input Layer: 10 neurons
Hidden Layer 1: 54 neurons
Hidden Layer 2: 38 neurons
Hidden Layer 3: 53 neurons
Hidden Layer 4: 53 neurons
Hidden Layer 5: 37 neurons
Hidden Layer 6: 37 neurons
Output Layer: 1 neuron","Random","25.098661260711317","0.9897195830212716","0.00010568697325652464","0.9861665890454828","0.00019136325863655657","0.9897194987994536","0.00010568870493443684"
"morning-sweep-383","finished","-","","","2024-08-21T06:30:05.000Z","9","ist7tium","","1024","4","dsu","6","true","67","0.2110697319752285","10000","","","","","512","8","","2","1.01","","","","true","compress","","7","2","","0.045316510794591806","mse","","","0.33829357557792983","true","","none","rmsprop","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.9877010015479264","0.0001516221867253383","65","1.213269722170112","","","164","Random","135","Random","163","Random","163","Default (PyTorch)","197","Default (PyTorch)","239","Random","","","","Input Layer: 10 neurons
Hidden Layer 1: 164 neurons
Hidden Layer 2: 135 neurons
Hidden Layer 3: 163 neurons
Hidden Layer 4: 163 neurons
Hidden Layer 5: 197 neurons
Hidden Layer 6: 239 neurons
Output Layer: 1 neuron","Xavier","5.26609001592549","0.9881304764356648","0.00014088558964431286","0.9868562647449788","0.00017275777645409107","0.9881162634631354","0.00014122319407761097"
"leafy-sweep-50","finished","-","","","2024-08-21T04:33:29.000Z","7","ist7tium","","1024","4","dsu","4","false","1","0.3542102664896285","10000","","","","","512","8","","2","1.01","","","","false","maintain","","7","2","0.5242333563062187","0.06174697295493895","huber","","","0.5591312529064414","false","","none","adadelta","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.9823116531391548","0.0003373117433511652","72","1.7364370299892422","","","464","Default (PyTorch)","464","Default (PyTorch)","464","Default (PyTorch)","464","Random","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 464 neurons
Hidden Layer 2: 464 neurons
Hidden Layer 3: 464 neurons
Hidden Layer 4: 464 neurons
Output Layer: 1 neuron","Random","0","0.9858068704166356","0.00020144492737017572","0.9753210696616624","0.000609049602644518","0.9858070193391664","0.00020144070003880188"
"quiet-sweep-227","finished","-","","","2024-08-21T05:31:33.000Z","9","ist7tium","","1024","4","dsu","6","false","95","0.4174445382912607","10000","","","","","512","8","","2","1.01","","","","true","expand","","7","2","0.6950709364579819","0.054420548417922245","huber","","","0.8589884304379435","false","","none","sgd","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.98064951877455","0.0003748150096119692","78","1.9187067797635775","","","169","Default (PyTorch)","324","Default (PyTorch)","621","Default (PyTorch)","1024","Default (PyTorch)","1024","Default (PyTorch)","1024","Default (PyTorch)","","","","Input Layer: 10 neurons
Hidden Layer 1: 169 neurons
Hidden Layer 2: 324 neurons
Hidden Layer 3: 621 neurons
Hidden Layer 4: 1024 neurons
Hidden Layer 5: 1024 neurons
Hidden Layer 6: 1024 neurons
Output Layer: 1 neuron","Default (PyTorch)","0","0.9810818951115612","0.0003578946925699711","0.9797847807154316","0.00040865509072318673","0.9810818804966576","0.00035789524554274976"
"still-sweep-461","finished","-","","","2024-08-21T07:00:44.000Z","13","ist7tium","","1024","4","dsu","3","false","44","0.5272228412577036","10000","","","","","512","8","","2","1.01","","","","false","expand","","7","2","0.4154455445632963","0.06691899344269515","huber","","","0.6130699592499739","false","","std","adamax","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.9815001670611944","0.00044219223491381854","113","1.7773341333082813","","","251","Default (PyTorch)","446","Default (PyTorch)","684","Default (PyTorch)","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 251 neurons
Hidden Layer 2: 446 neurons
Hidden Layer 3: 684 neurons
Output Layer: 1 neuron","Default (PyTorch)","0","0.988573575623794","0.0001305631740251556","0.9673616802550048","0.0010652599157765508","0.9885652453047846","0.00013075361493974924"
"azure-sweep-488","finished","-","","","2024-08-21T07:09:00.000Z","13","ist7tium","","1024","4","dsu","3","false","48","0.7216371115467715","10000","","","","","512","8","","2","1.01","","","","true","maintain","","7","2","0.4143971280188381","0.060794914148107","huber","","","0.3275577391800251","true","","std","adamw","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.982346730673767","0.00044946170479912934","79","1.6296078263345573","","","285","Random","285","Default (PyTorch)","174","Random","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 285 neurons
Hidden Layer 2: 285 neurons
Hidden Layer 3: 174 neurons
Output Layer: 1 neuron","Random","0","0.9906502859494702","0.00008741715282667428","0.9657440933194372","0.001173467142507434","0.9906458127523936","0.00008750081906327978"
