"Name","State","Notes","User","Tags","Created","Runtime","Sweep","absolute_dim_range","absolute_dim_range_max","absolute_dim_range_min","activation_function","actual_hidden_layers","apply_penalty","batch_size","dropout","epochs","hidden_dim1","hidden_dim2","hidden_dim3","hidden_dim_initial_range","hidden_dim_initial_range_max","hidden_dim_initial_range_min","hidden_dim_random_scale_factor_range","hidden_dim_random_scale_factor_range_max","hidden_dim_random_scale_factor_range_min","hidden_dim_range","hidden_dim_range_max","hidden_dim_range_min","hidden_dim_scale_factor_fixed","hidden_dim_strategy","hidden_layers","hidden_layers_max","hidden_layers_min","huber_delta","learning_rate","loss_function","method","model_type","momentum","nesterov","normalization","normalization_method","optimizer","output_activation_function","parameters.absolute_dim_range.distribution","parameters.absolute_dim_range.max","parameters.absolute_dim_range.min","parameters.absolute_dim_range_max","parameters.absolute_dim_range_min","parameters.activation_functions","parameters.apply_penaltys","parameters.batch_size.distribution","parameters.batch_size.max","parameters.batch_size.min","parameters.batch_sizes","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.dropouts","parameters.epochs","parameters.epochss","parameters.hidden_dim1s","parameters.hidden_dim2s","parameters.hidden_dim3s","parameters.hidden_dim_initial_range.distribution","parameters.hidden_dim_initial_range.max","parameters.hidden_dim_initial_range.min","parameters.hidden_dim_initial_range_max","parameters.hidden_dim_initial_range_min","parameters.hidden_dim_random_scale_factor_range.distribution","parameters.hidden_dim_random_scale_factor_range.max","parameters.hidden_dim_random_scale_factor_range.min","parameters.hidden_dim_random_scale_factor_range_max","parameters.hidden_dim_random_scale_factor_range_min","parameters.hidden_dim_range.distribution","parameters.hidden_dim_range.max","parameters.hidden_dim_range.min","parameters.hidden_dim_range_max.distribution","parameters.hidden_dim_range_max.max","parameters.hidden_dim_range_max.min","parameters.hidden_dim_range_min.distribution","parameters.hidden_dim_range_min.max","parameters.hidden_dim_range_min.min","parameters.hidden_dim_scale_factor_fixeds","parameters.hidden_dim_strategys","parameters.hidden_layers.distribution","parameters.hidden_layers.max","parameters.hidden_layers.min","parameters.hidden_layerss","parameters.hidden_layers_max","parameters.hidden_layers_min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.learning_rates","parameters.momentum.distribution","parameters.momentum.max","parameters.momentum.min","parameters.nesterovs","parameters.normalization_methods","parameters.optimizers","parameters.output_activation_functions","parameters.penalty_factor_max","parameters.penalty_factor_min","parameters.randomize_hidden_dim_strategys","parameters.randomize_row_deletions","parameters.randomize_time_shifts","parameters.row_deletion_range_max","parameters.row_deletion_range_min","parameters.scaled_layerss","parameters.time_shift_range_max","parameters.time_shift_range_min","penalty_factor_max","penalty_factor_min","randomize_hidden_dim_strategy","randomize_row_deletion","randomize_time_shift","row_deletion_range_max","row_deletion_range_min","scaled_layers","time_shift_range_max","time_shift_range_min","combined_metric","combined_metric_accuracy","combined_metric_loss","epoch","hidden_dim_scale_factor","hidden_layer_11_weight_init","hidden_layer_13_weight_init","hidden_layer_1_neurons","hidden_layer_1_weight_init","hidden_layer_2_neurons","hidden_layer_2_weight_init","hidden_layer_3_neurons","hidden_layer_3_weight_init","hidden_layer_4_neurons","hidden_layer_4_weight_init","hidden_layer_5_neurons","hidden_layer_5_weight_init","hidden_layer_6_neurons","hidden_layer_6_weight_init","hidden_layer_7_neurons","hidden_layer_7_weight_init","hidden_layer_9_weight_init","model_architecture","output_layer_weight_init","penalty_factor","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy","val_loss"
"fearless-sweep-463","finished","-","","","2024-08-21T15:56:26.000Z","10","cx89v8ve","","1024","4","swish","2","false","69","0.5547237404183838","10000","","","","","512","8","","2","1.01","","","","true","maintain","","7","2","0.272673259719525","0.09824836147567192","huber","","","0.12032535553924605","false","","min-max","rmsprop","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.9401121184512692","0.0036805368339022","68","1.0584022553539911","","","52","Default (PyTorch)","52","Default (PyTorch)","","","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 52 neurons
Hidden Layer 2: 52 neurons
Output Layer: 1 neuron","LeCun","0","0.9469669881621896","0.0028125003445893526","0.9264023790294286","0.005416609812527895","0.9469669881621896","0.0028125003445893526"
"sweet-sweep-215","finished","-","","","2024-08-21T14:24:30.000Z","13","cx89v8ve","","1024","4","mish","5","true","93","0.644767009796851","10000","","","","","512","8","","2","1.01","","","","false","compress","","7","2","0.9852334647385071","0.03333320412309776","huber","","","0.5737208737589994","true","","min-max","asgd","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.9401047547838588","0.0036816208933790526","151","1.7026634936167675","","","309","Random","181","Random","181","Random","141","Random","94","Random","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 309 neurons
Hidden Layer 2: 181 neurons
Hidden Layer 3: 181 neurons
Hidden Layer 4: 141 neurons
Hidden Layer 5: 94 neurons
Output Layer: 1 neuron","Default (PyTorch)","10.72835652429578","0.9469669881621896","0.0028125003445893526","0.9263802880271972","0.005419861990958452","0.9469669881621896","0.0028125003445893526"
"cosmic-sweep-107","finished","-","","","2024-08-21T04:52:30.000Z","12","ist7tium","","1024","4","dsu","5","false","53","0.22602426215871876","10000","","","","","512","8","","2","1.01","","","","true","maintain","","7","2","","0.012940322516925671","mae","","","0.8769561937984667","false","","std","asgd","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.9428537818504354","0.003791415792269011","155","1.407152193238443","","","465","Default (PyTorch)","465","Default (PyTorch)","465","Random","465","Default (PyTorch)","465","Default (PyTorch)","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 465 neurons
Hidden Layer 2: 465 neurons
Hidden Layer 3: 465 neurons
Hidden Layer 4: 465 neurons
Hidden Layer 5: 465 neurons
Output Layer: 1 neuron","Random","0","0.9590673420103218","0.0016754824900999663","0.9104276953368502","0.008023197762668133","0.9590663082041342","0.0016755671240389347"
"lyric-sweep-135","finished","-","","","2024-08-21T05:01:00.000Z","14","ist7tium","","1024","4","dsu","3","true","92","0.4511078896633567","10000","","","","","512","8","","2","1.01","","","","true","maintain","","7","2","","0.06826452103507787","mse","","","0.8500769394502692","false","","min-max","asgd","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.9382208054871426","0.003818269819021225","137","1.9859528798017256","","","353","Random","353","Default (PyTorch)","701","Default (PyTorch)","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 353 neurons
Hidden Layer 2: 353 neurons
Hidden Layer 3: 701 neurons
Output Layer: 1 neuron","LeCun","88.86682471162133","0.9391154851244652","0.0037069241516292095","0.936431423267679","0.00404096394777298","0.9391155080692836","0.0037069213576614857"
"light-sweep-241","finished","-","","","2024-08-21T05:36:00.000Z","13","ist7tium","","1024","4","hardelish","5","true","97","0.6096701879587039","10000","","","","","512","8","","2","1.01","","","","true","compress","","7","2","1.2686033082832189","0.014214386876580146","huber","","","0.6946845593411772","false","","min-max","adamax","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.938210294357129","0.003971327096223831","124","1.3342111011825026","","","150","Default (PyTorch)","112","Default (PyTorch)","83","Default (PyTorch)","62","Default (PyTorch)","46","Default (PyTorch)","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 150 neurons
Hidden Layer 2: 112 neurons
Hidden Layer 3: 83 neurons
Hidden Layer 4: 62 neurons
Hidden Layer 5: 46 neurons
Output Layer: 1 neuron","Default (PyTorch)","67.29054818109458","0.9469669881621896","0.0028125003445893526","0.9206969067470078","0.006288980599492788","0.9469669881621896","0.0028125003445893526"
"honest-sweep-429","finished","-","","","2024-08-21T15:45:34.000Z","13","cx89v8ve","","1024","4","gelu","4","false","97","0.566961758190388","10000","","","","","512","8","","2","1.01","","","","false","compress","","7","2","1.4980460898906829","0.050998958182636125","huber","","","0.8721909915506308","false","","std","sgd","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.938210289463864","0.003971327872325976","63","1.761358110828597","","","492","Xavier","279","Xavier","140","Xavier","134","Xavier","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 492 neurons
Hidden Layer 2: 279 neurons
Hidden Layer 3: 140 neurons
Hidden Layer 4: 134 neurons
Output Layer: 1 neuron","Xavier","0","0.9469669881621896","0.0028125003445893526","0.9206968920672132","0.006288982927799225","0.9469669881621896","0.0028125003445893526"
"snowy-sweep-349","finished","-","","","2024-08-21T15:12:06.000Z","18","cx89v8ve","","1024","4","selu","4","false","49","0.554741445456912","10000","","","","","512","8","","2","1.01","","","","true","compress","","7","2","1.492321575463082","0.03949229246842256","huber","","","0.0188902239459948","false","","min-max","sgd","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.938210289463864","0.003971327872325976","202","1.6090598257936102","","","111","LeCun","68","LeCun","68","LeCun","42","LeCun","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 111 neurons
Hidden Layer 2: 68 neurons
Hidden Layer 3: 68 neurons
Hidden Layer 4: 42 neurons
Output Layer: 1 neuron","Default (PyTorch)","0","0.9469669881621896","0.0028125003445893526","0.9206968920672132","0.006288982927799225","0.9469669881621896","0.0028125003445893526"
"mild-sweep-495","finished","-","","","2024-08-21T07:11:03.000Z","12","ist7tium","","1024","4","selu","7","true","63","0.4700430631169982","10000","","","","","512","8","","2","1.01","","","","true","compress","","7","2","1.6784204578690305","0.07270510108145324","huber","","","0.5084058416386298","false","","std","adamax","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.938210289463864","0.003971327872325976","86","1.1707439745561412","","","468","Default (PyTorch)","399","Default (PyTorch)","399","Default (PyTorch)","467","Default (PyTorch)","398","Default (PyTorch)","465","Default (PyTorch)","544","Default (PyTorch)","","Input Layer: 10 neurons
Hidden Layer 1: 468 neurons
Hidden Layer 2: 399 neurons
Hidden Layer 3: 399 neurons
Hidden Layer 4: 467 neurons
Hidden Layer 5: 398 neurons
Hidden Layer 6: 465 neurons
Hidden Layer 7: 544 neurons
Output Layer: 1 neuron","Xavier","94.79506407702492","0.9469669881621896","0.0028125003445893526","0.9206968920672132","0.006288982927799225","0.9469669881621896","0.0028125003445893526"
"genial-sweep-129","finished","-","","","2024-08-21T04:59:13.000Z","11","ist7tium","","1024","4","relu","4","true","94","0.6466082111491658","10000","","","","","512","8","","2","1.01","","","","false","compress","","7","2","","0.09171503176887393","mse","","","0.3121057941328033","false","","std","rmsprop","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.9359908187142146","0.0040974838969608145","53","1.8647027981193256","","","32","Random","17","Default (PyTorch)","11","Random","13","Random","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 32 neurons
Hidden Layer 2: 17 neurons
Hidden Layer 3: 11 neurons
Hidden Layer 4: 13 neurons
Output Layer: 1 neuron","Default (PyTorch)","13.655616528433628","0.9363836360761248","0.00404704175889492","0.9352051876503116","0.004198367707431316","0.9363836324162076","0.004047042224556208"
"different-sweep-128","finished","-","","","2024-08-21T04:58:53.000Z","15","ist7tium","","1024","4","hardelish","4","false","5","0.4486845216733463","10000","","","","","512","8","","2","1.01","","","","false","compress","","7","2","0.33792376854467476","0.0011674150168769712","huber","","","0.4434706729122392","false","","std","sgd","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.9368634249704548","0.004190391084800164","199","1.8280496408989408","","","348","Default (PyTorch)","190","Default (PyTorch)","231","Default (PyTorch)","231","Default (PyTorch)","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 348 neurons
Hidden Layer 2: 190 neurons
Hidden Layer 3: 231 neurons
Hidden Layer 4: 231 neurons
Output Layer: 1 neuron","LeCun","0","0.9469669881621896","0.0028125003445893526","0.916656298586985","0.0069461725652217865","0.9469669881621896","0.0028125003445893526"
"peachy-sweep-69","finished","-","","","2024-08-21T04:41:42.000Z","8","ist7tium","","1024","4","gelu","2","false","98","0.497485914885159","10000","","","","","512","8","","2","1.01","","","","false","compress","","7","2","1.780706852504102","0.051581120392497","huber","","","0.16439418551641208","false","","none","adamw","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.9364427993706884","0.004261034851272901","51","1.8027261360952256","","","424","Default (PyTorch)","235","Default (PyTorch)","","","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 424 neurons
Hidden Layer 2: 235 neurons
Output Layer: 1 neuron","Default (PyTorch)","0","0.9469669881621896","0.0028125003445893526","0.915394421787686","0.0071581038646399975","0.9469669881621896","0.0028125003445893526"
"easy-sweep-230","finished","-","","","2024-08-21T14:28:27.000Z","12","cx89v8ve","","1024","4","mish","5","false","53","0.7137832690818655","10000","","","","","512","8","","2","1.01","","","","true","maintain","","7","2","0.4541717017733136","0.05545299162728822","huber","","","0.18242674553770105","true","","none","adamax","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.9361457638002766","0.004311561274031798","200","1.8721923900321185","","","216","Random","216","Random","216","Random","216","Random","216","Random","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 216 neurons
Hidden Layer 2: 216 neurons
Hidden Layer 3: 216 neurons
Hidden Layer 4: 216 neurons
Hidden Layer 5: 216 neurons
Output Layer: 1 neuron","LeCun","0","0.9469669881621896","0.0028125003445893526","0.9145033150764506","0.007309683132916689","0.9469669881621896","0.0028125003445893526"
"stellar-sweep-288","finished","-","","","2024-08-21T14:51:02.000Z","21","cx89v8ve","","1024","4","dsu","4","false","47","0.7731668354378656","10000","","","","","512","8","","2","1.01","","","","true","maintain","","7","2","","0.011967186665492091","mae","","","0.8030382419814768","false","","none","adam","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.9353665505724384","0.004509177058935165","482","1.067690723935611","","","126","Default (PyTorch)","126","Default (PyTorch)","126","Random","126","Random","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 126 neurons
Hidden Layer 2: 126 neurons
Hidden Layer 3: 126 neurons
Hidden Layer 4: 126 neurons
Output Layer: 1 neuron","Default (PyTorch)","0","0.94824479892409","0.002678600838407874","0.9096102203204248","0.008170312270522118","0.9482446324728004","0.0026786180678755045"
"smart-sweep-204","finished","-","","","2024-08-21T14:20:46.000Z","15","cx89v8ve","","1024","4","selu","6","true","9","0.7020409478089371","10000","","","","","512","8","","2","1.01","","","","false","compress","","7","2","1.4034498262433268","0.07858532372404554","huber","","","0.2580242938206998","false","","min-max","asgd","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.9347797334718408","0.004550741519778967","203","1.7034100860681982","","","425","Default (PyTorch)","249","Default (PyTorch)","148","Default (PyTorch)","120","Default (PyTorch)","114","Default (PyTorch)","93","Default (PyTorch)","","","","Input Layer: 10 neurons
Hidden Layer 1: 425 neurons
Hidden Layer 2: 249 neurons
Hidden Layer 3: 148 neurons
Hidden Layer 4: 120 neurons
Hidden Layer 5: 114 neurons
Hidden Layer 6: 93 neurons
Output Layer: 1 neuron","LeCun","60.44816879278559","0.9469669881621896","0.0028125003445893526","0.9104052240911436","0.008027223870158195","0.9469669881621896","0.0028125003445893526"
"morning-sweep-60","finished","-","","","2024-08-21T13:35:14.000Z","20","cx89v8ve","","1024","4","relu","5","false","87","0.27258944246690187","10000","","","","","512","8","","2","1.01","","","","true","compress","","7","2","","0.04315468170681883","mae","","","0.7834769917558116","false","","std","adamax","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.928350639176316","0.005136159248650074","306","1.8806543066404464","","","178","Default (PyTorch)","94","Random","49","He","26","Random","13","Default (PyTorch)","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 178 neurons
Hidden Layer 2: 94 neurons
Hidden Layer 3: 49 neurons
Hidden Layer 4: 26 neurons
Hidden Layer 5: 13 neurons
Output Layer: 1 neuron","Random","0","0.9294749928145496","0.004973776638507843","0.9261019318998492","0.005460924468934536","0.9294749928145496","0.004973776638507843"
"genial-sweep-105","finished","-","","","2024-08-21T04:51:49.000Z","15","ist7tium","","1024","4","softplus","5","false","40","0.6653019549234402","10000","","","","","512","8","","2","1.01","","","","false","expand","","7","2","","0.021600343496966868","mae","","","0.664646835223839","true","","std","rmsprop","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.9292510596366969","0.0051382677629590034","241","1.313935603982157","","","27","Random","35","Random","35","Random","35","Random","35","Random","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 27 neurons
Hidden Layer 2: 35 neurons
Hidden Layer 3: 35 neurons
Hidden Layer 4: 35 neurons
Hidden Layer 5: 35 neurons
Output Layer: 1 neuron","Default (PyTorch)","0","0.937401372527279","0.003918588161468506","0.9129504338555328","0.007577626965939999","0.937401372527279","0.003918588161468506"
"super-sweep-17","finished","-","","","2024-08-21T04:23:31.000Z","13","ist7tium","","1024","4","elu","6","true","98","0.6631258284265038","10000","","","","","512","8","","2","1.01","","","","true","maintain","","7","2","","0.023330605161612627","mse","","","0.4171249365936427","true","","min-max","adamw","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.927874373960701","0.005218630035718282","271","1.882501891168412","","","21","Random","21","He","21","Default (PyTorch)","21","Default (PyTorch)","11","Random","20","Default (PyTorch)","","","","Input Layer: 10 neurons
Hidden Layer 1: 21 neurons
Hidden Layer 2: 21 neurons
Hidden Layer 3: 21 neurons
Hidden Layer 4: 21 neurons
Hidden Layer 5: 11 neurons
Hidden Layer 6: 20 neurons
Output Layer: 1 neuron","Random","99.39935421189222","0.9249999954054754","0.005625000689178705","0.9336231310711522","0.004405888728797436","0.9249999954054754","0.005625000689178705"
"ethereal-sweep-350","finished","-","","","2024-08-21T06:13:25.000Z","20","ist7tium","","1024","4","dsu","3","false","83","0.24694493492043385","10000","","","","","512","8","","2","1.01","","","","true","maintain","","7","2","","0.04084507814515427","mse","","","0.023443185646755873","false","","min-max","adadelta","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.927386943677972","0.005272772007932265","355","1.15516736633191","","","418","Default (PyTorch)","418","Default (PyTorch)","418","Default (PyTorch)","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 418 neurons
Hidden Layer 2: 418 neurons
Hidden Layer 3: 418 neurons
Output Layer: 1 neuron","Default (PyTorch)","0","0.9276270793019742","0.00523783965036273","0.926905157161824","0.005342856049537659","0.9276285945701176","0.005237620323896408"
"icy-sweep-332","finished","-","","","2024-08-21T15:05:11.000Z","15","cx89v8ve","","1024","4","dsu","3","true","100","0.25339146904326165","10000","","","","","512","8","","2","1.01","","","","false","compress","","7","2","","0.0687581770027214","mae","","","0.6353839457095811","true","","none","adam","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.9256876210937516","0.005533671161780755","132","1.1696851432384434","","","374","Default (PyTorch)","319","Random","319","Default (PyTorch)","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 374 neurons
Hidden Layer 2: 319 neurons
Hidden Layer 3: 319 neurons
Output Layer: 1 neuron","Default (PyTorch)","73.46495012642687","0.9233265238385492","0.005878821946680546","0.9304502318964092","0.004837170243263245","0.923286107546296","0.005885021295398474"
"stellar-sweep-129","finished","-","","","2024-08-21T13:58:24.000Z","11","cx89v8ve","","1024","4","dsu","2","true","87","0.6301089065373988","10000","","","","","512","8","","2","1.01","","","","true","maintain","","7","2","","0.06648562336857536","mse","","","0.7262213424906655","true","","min-max","adamax","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.925154676528722","0.005601825037350257","52","1.8934206944439471","","","268","Random","268","Random","","","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 268 neurons
Hidden Layer 2: 268 neurons
Output Layer: 1 neuron","LeCun","79.76036557179148","0.9251186777093008","0.00560721242800355","0.9252266741675638","0.0055910502560436726","0.9251186777093008","0.00560721242800355"
"fine-sweep-494","finished","-","","","2024-08-21T07:10:48.000Z","9","ist7tium","","1024","4","dsu","4","false","51","0.5351300413607354","10000","","","","","512","8","","2","1.01","","","","false","expand","","7","2","","0.07386637177272261","mse","","","0.04483286048155255","false","","none","adamw","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.9250002137497748","0.005624967937668164","140","1.632058828837154","","","386","Random","629","Random","629","Default (PyTorch)","1024","Random","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 386 neurons
Hidden Layer 2: 629 neurons
Hidden Layer 3: 629 neurons
Hidden Layer 4: 1024 neurons
Output Layer: 1 neuron","Default (PyTorch)","0","0.9250000047187013","0.005624999292194843","0.9250006349163308","0.00562490476295352","0.9250000016142924","0.005624999757856131"
"solar-sweep-379","finished","-","","","2024-08-21T06:29:13.000Z","10","ist7tium","","1024","4","swish","6","true","1","0.6322548037784224","10000","","","","","512","8","","2","1.01","","","","true","maintain","","7","2","","0.015022797285067252","mse","","","0.30902695865245744","true","","none","sgd","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.924999998509884","0.005625000223517418","62","1.2481270221084804","","","390","Random","390","Default (PyTorch)","390","Default (PyTorch)","390","Random","390","Default (PyTorch)","390","Random","","","","Input Layer: 10 neurons
Hidden Layer 1: 390 neurons
Hidden Layer 2: 390 neurons
Hidden Layer 3: 390 neurons
Hidden Layer 4: 390 neurons
Hidden Layer 5: 390 neurons
Hidden Layer 6: 390 neurons
Output Layer: 1 neuron","Default (PyTorch)","50.296394397683336","0.9250000000620882","0.005624999990686774","0.9250000000620882","0.005624999990686774","0.9249999954054754","0.005625000689178705"
"chocolate-sweep-418","finished","-","","","2024-08-21T15:42:00.000Z","10","cx89v8ve","","1024","4","swish","5","false","54","0.6240639261661086","10000","","","","","512","8","","2","1.01","","","","false","maintain","","7","2","","0.049876361399104445","mse","","","0.5112910579424625","true","","min-max","nadam","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.9249999964402784","0.005625000533958276","64","1.2738101921557767","","","262","Random","262","Random","414","Random","248","Random","248","Random","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 262 neurons
Hidden Layer 2: 262 neurons
Hidden Layer 3: 414 neurons
Hidden Layer 4: 248 neurons
Hidden Layer 5: 248 neurons
Output Layer: 1 neuron","Default (PyTorch)","0","0.9249999954054754","0.005625000689178705","0.924999998509884","0.005625000223517418","0.9249999954054754","0.005625000689178705"
"sweepy-sweep-296","finished","-","","","2024-08-21T05:56:25.000Z","10","ist7tium","","1024","4","gelu","6","true","77","0.3111266430063095","10000","","","","","512","8","","2","1.01","","","","true","compress","","7","2","","0.02726982460946301","mse","","","0.5996420591943592","false","","std","sgd","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.9249999964402784","0.005625000533958276","54","1.8458646173885744","","","243","Random","131","Default (PyTorch)","131","Default (PyTorch)","70","Default (PyTorch)","129","Default (PyTorch)","238","Random","","","","Input Layer: 10 neurons
Hidden Layer 1: 243 neurons
Hidden Layer 2: 131 neurons
Hidden Layer 3: 131 neurons
Hidden Layer 4: 70 neurons
Hidden Layer 5: 129 neurons
Hidden Layer 6: 238 neurons
Output Layer: 1 neuron","Random","81.27853549284946","0.9249999954054754","0.005625000689178705","0.924999998509884","0.005625000223517418","0.9249999954054754","0.005625000689178705"
"dazzling-sweep-390","finished","-","","","2024-08-21T15:32:46.000Z","12","cx89v8ve","","1024","4","hardelish","6","false","70","0.5378790559488242","10000","","","","","512","8","","2","1.01","","","","false","expand","","7","2","","0.056239872774651936","mse","","","0.7552704526118139","true","","min-max","adamax","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","false","","","","","","","","","0.9249999964402784","0.005625000533958276","84","1.7442907694076617","","","128","Random","223","Random","441","Random","676","Random","1024","Random","1024","Random","","","","Input Layer: 10 neurons
Hidden Layer 1: 128 neurons
Hidden Layer 2: 223 neurons
Hidden Layer 3: 441 neurons
Hidden Layer 4: 676 neurons
Hidden Layer 5: 1024 neurons
Hidden Layer 6: 1024 neurons
Output Layer: 1 neuron","Xavier","0","0.9249999954054754","0.005625000689178705","0.924999998509884","0.005625000223517418","0.9249999954054754","0.005625000689178705"
"divine-sweep-285","finished","-","","","2024-08-21T14:50:00.000Z","14","cx89v8ve","","1024","4","swish","6","true","44","0.5635603473989496","10000","","","","","512","8","","2","1.01","","","","false","compress","","7","2","","0.004035760183107576","mse","","","0.33175194880826425","false","","min-max","sgd","sigmoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","true","","","","","","","","","0.9249999964402784","0.005625000533958276","99","1.2350668594889145","","","319","Default (PyTorch)","258","Default (PyTorch)","258","Default (PyTorch)","258","Default (PyTorch)","258","Default (PyTorch)","339","Default (PyTorch)","","","","Input Layer: 10 neurons
Hidden Layer 1: 319 neurons
Hidden Layer 2: 258 neurons
Hidden Layer 3: 258 neurons
Hidden Layer 4: 258 neurons
Hidden Layer 5: 258 neurons
Hidden Layer 6: 339 neurons
Output Layer: 1 neuron","Default (PyTorch)","55.15985887419222","0.9249999954054754","0.005625000689178705","0.924999998509884","0.005625000223517418","0.9249999954054754","0.005625000689178705"
