"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","batch_size","dropout","epochs","hidden_dim1","hidden_dim2","learning_rate","method","model_type","normalization","normalization_method","parameters.activation_functions","parameters.batch_sizes","parameters.dropouts","parameters.epochss","parameters.hidden_dim1s","parameters.hidden_dim2s","parameters.learning_rates","parameters.normalization_methods","hidden_dim3","hidden_layers","optimizer","output_activation_function","parameters.hidden_dim3s","parameters.hidden_layerss","parameters.optimizers","parameters.output_activation_functions","hidden_dim_range","hidden_dim_range_max","hidden_dim_range_min","hidden_dim_strategy","momentum","nesterov","parameters.batch_size.distribution","parameters.batch_size.max","parameters.batch_size.min","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.hidden_dim_range.distribution","parameters.hidden_dim_range.max","parameters.hidden_dim_range.min","parameters.hidden_dim_range_max.distribution","parameters.hidden_dim_range_max.max","parameters.hidden_dim_range_max.min","parameters.hidden_dim_range_min.distribution","parameters.hidden_dim_range_min.max","parameters.hidden_dim_range_min.min","parameters.hidden_dim_strategys","parameters.hidden_layers.distribution","parameters.hidden_layers.max","parameters.hidden_layers.min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.momentum.distribution","parameters.momentum.max","parameters.momentum.min","parameters.nesterovs","absolute_dim_range","absolute_dim_range_max","absolute_dim_range_min","actual_hidden_layers","hidden_dim_initial_range","hidden_dim_initial_range_max","hidden_dim_initial_range_min","hidden_dim_random_scale_factor_range","hidden_dim_random_scale_factor_range_max","hidden_dim_random_scale_factor_range_min","hidden_dim_scale_factor_fixed","hidden_layers_max","hidden_layers_min","parameters.absolute_dim_range.distribution","parameters.absolute_dim_range.max","parameters.absolute_dim_range.min","parameters.absolute_dim_range_max","parameters.absolute_dim_range_min","parameters.hidden_dim_initial_range.distribution","parameters.hidden_dim_initial_range.max","parameters.hidden_dim_initial_range.min","parameters.hidden_dim_initial_range_max","parameters.hidden_dim_initial_range_min","parameters.hidden_dim_random_scale_factor_range.distribution","parameters.hidden_dim_random_scale_factor_range.max","parameters.hidden_dim_random_scale_factor_range.min","parameters.hidden_dim_random_scale_factor_range_max","parameters.hidden_dim_random_scale_factor_range_min","parameters.hidden_dim_scale_factor_fixeds","parameters.hidden_layers_max","parameters.hidden_layers_min","parameters.randomize_hidden_dim_strategys","parameters.scaled_layerss","randomize_hidden_dim_strategy","scaled_layers","epoch","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy","val_loss","model_architecture","hidden_layer_1_neurons","hidden_layer_2_neurons","hidden_layer_3_neurons","hidden_layer_4_neurons","hidden_layer_5_neurons"
"sweepy-sweep-1","finished","-","","","2024-07-27T21:13:09.000Z","217","ifwt95ny","squ","26","0.6904852597467024","500","","","0.06269016409355858","","","","std","","","","","","","","","","","adam","none","","","","","","","","maintain","0.7801531362457823","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","2","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","true","","32","-0.8921001448812329","3.5800429582595825","-10406.291290244546","108311712","-0.9048090006478272","3.6282973289489746","Input Layer: 10 neurons
Hidden Layer 1: 33 neurons
Hidden Layer 2: 33 neurons
Output Layer: 1 neuron","33","33","","",""
"fluent-sweep-10","finished","-","","","2024-07-27T19:15:24.000Z","30","oh52kkcs","gelu","19","0.6536144150479613","500","","","0.029147699879204257","","","","group","","","","","","","","","","","adamw","none","","","","","","","","expand","0.5042231993258525","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","2","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","true","","29","0.5849882785602547","0.17223472893238068","0.6619119945040636","0.11430349946022034","0.5849188971774373","0.1722923219203949","Input Layer: 10 neurons
Hidden Layer 1: 247 neurons
Hidden Layer 2: 457 neurons
Output Layer: 1 neuron","247","457","","",""
"earnest-sweep-9","finished","-","","","2024-07-27T19:14:38.000Z","43","oh52kkcs","mish","84","0.4139138601169815","500","","","0.05773434924705631","","","","none","","","","","","","","","","","adam","none","","","","","","","","expand","0.4191455496223831","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","2","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","true","","43","0.8737951764590266","0.01592765748500824","0.8829695840478219","0.013696118257939816","0.8737847571013748","0.015930287539958954","Input Layer: 10 neurons
Hidden Layer 1: 66 neurons
Hidden Layer 2: 123 neurons
Output Layer: 1 neuron","66","123","","",""
"wild-sweep-8","finished","-","","","2024-07-27T19:12:50.000Z","106","oh52kkcs","softplus","91","0.47348423029881137","500","","","0.02430524500889101","","","","std","","","","","","","","","","","adadelta","none","","","","","","","","compress","0.6013102823434822","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","3","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","true","","121","0.794898325137849","0.04206669703125954","0.6250984599307646","0.14055116474628448","0.7948995057453037","0.04206621274352074","Input Layer: 10 neurons
Hidden Layer 1: 103 neurons
Hidden Layer 2: 56 neurons
Hidden Layer 3: 56 neurons
Output Layer: 1 neuron","103","56","56","",""
"driven-sweep-7","finished","-","","","2024-07-27T19:12:19.000Z","26","oh52kkcs","selu","98","0.32618332774865044","500","","","0.0943423452561843","","","","min-max","","","","","","","","","","","adadelta","none","","","","","","","","maintain","0.6765721146417395","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","2","","256","8","","2","1.01","true","5","2","","","","","","","","","","","","","","","","","","","","","false","","26","0.8244944668494818","0.03080219216644764","0.7406668283110406","0.06725369393825531","0.824520157564237","0.030793175101280212","Input Layer: 10 neurons
Hidden Layer 1: 207 neurons
Hidden Layer 2: 207 neurons
Output Layer: 1 neuron","207","207","","",""
"restful-sweep-6","finished","-","","","2024-07-27T19:07:08.000Z","306","oh52kkcs","mish","66","0.6862593551027512","500","","","0.06318051338187067","","","","instance","","","","","","","","","","","adadelta","none","","","","","","","","compress","0.6219697166306783","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","5","","256","8","","2","1.01","true","5","2","","","","","","","","","","","","","","","","","","","","","false","","362","0.7814790357983561","0.04775141179561615","0.7122429737158457","0.0828041061758995","0.7814790357983561","0.04775141179561615","Input Layer: 10 neurons
Hidden Layer 1: 80 neurons
Hidden Layer 2: 66 neurons
Hidden Layer 3: 54 neurons
Hidden Layer 4: 44 neurons
Hidden Layer 5: 36 neurons
Output Layer: 1 neuron","80","66","54","44","36"
"frosty-sweep-5","finished","-","","","2024-07-27T19:06:37.000Z","24","oh52kkcs","relu","23","0.5131998578215717","500","","","0.02051884357382477","","","","instance","","","","","","","","","","","adam","none","","","","","","","","expand","0.8899609672491231","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","3","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","false","","22","0.2916604444365686","0.5017449259757996","0.26822216630077944","0.5354987978935242","0.2916604444365686","0.5017449259757996","Input Layer: 10 neurons
Hidden Layer 1: 200 neurons
Hidden Layer 2: 300 neurons
Hidden Layer 3: 389 neurons
Output Layer: 1 neuron","200","300","389","",""
"dainty-sweep-4","finished","-","","","2024-07-27T18:59:38.000Z","417","oh52kkcs","hardelish","91","0.6924775099446218","500","","","0.07312594739195952","","","","none","","","","","","","","","","","rmsprop","none","","","","","","","","compress","0.49020731781947535","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","3","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","false","","500","0.2670556469685741","0.5372074246406555","0.7091809238846969","0.08457573503255844","0.2670603636711536","0.5372005105018616","Input Layer: 10 neurons
Hidden Layer 1: 51 neurons
Hidden Layer 2: 28 neurons
Hidden Layer 3: 16 neurons
Output Layer: 1 neuron","51","28","16","",""
"desert-sweep-3","finished","-","","","2024-07-27T18:58:41.000Z","51","oh52kkcs","swish","98","0.5625311012440166","500","","","0.004623120677014699","","","","none","","","","","","","","","","","adam","none","","","","","","","","maintain","0.48223980143288087","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","4","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","false","","55","0.9023054579468136","0.009544223546981812","0.9022187079834776","0.00956118106842041","0.9023030127615872","0.00954470131546259","Input Layer: 10 neurons
Hidden Layer 1: 144 neurons
Hidden Layer 2: 144 neurons
Hidden Layer 3: 144 neurons
Hidden Layer 4: 144 neurons
Output Layer: 1 neuron","144","144","144","144",""
"polar-sweep-2","finished","-","","","2024-07-27T18:53:20.000Z","319","oh52kkcs","ncu","13","0.6305866033686427","500","","","0.001031821824927205","","","","none","","","","","","","","","","","nadam","none","","","","","","","","expand","0.6090093027197068","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","2","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","false","","387","0.9938069373826776","0.00003835402458207682","0.7890942915396183","0.04448121786117554","0.9938541249096716","0.00003777178062591702","Input Layer: 10 neurons
Hidden Layer 1: 15 neurons
Hidden Layer 2: 16 neurons
Output Layer: 1 neuron","15","16","","",""
