"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","batch_size","dropout","epochs","hidden_dim1","hidden_dim2","learning_rate","method","model_type","normalization","normalization_method","parameters.activation_functions","parameters.batch_sizes","parameters.dropouts","parameters.epochss","parameters.hidden_dim1s","parameters.hidden_dim2s","parameters.learning_rates","parameters.normalization_methods","hidden_dim3","hidden_layers","optimizer","output_activation_function","parameters.hidden_dim3s","parameters.hidden_layerss","parameters.optimizers","parameters.output_activation_functions","hidden_dim_range","hidden_dim_range_max","hidden_dim_range_min","hidden_dim_strategy","momentum","nesterov","parameters.batch_size.distribution","parameters.batch_size.max","parameters.batch_size.min","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.hidden_dim_range.distribution","parameters.hidden_dim_range.max","parameters.hidden_dim_range.min","parameters.hidden_dim_range_max.distribution","parameters.hidden_dim_range_max.max","parameters.hidden_dim_range_max.min","parameters.hidden_dim_range_min.distribution","parameters.hidden_dim_range_min.max","parameters.hidden_dim_range_min.min","parameters.hidden_dim_strategys","parameters.hidden_layers.distribution","parameters.hidden_layers.max","parameters.hidden_layers.min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.momentum.distribution","parameters.momentum.max","parameters.momentum.min","parameters.nesterovs","absolute_dim_range","absolute_dim_range_max","absolute_dim_range_min","actual_hidden_layers","hidden_dim_initial_range","hidden_dim_initial_range_max","hidden_dim_initial_range_min","hidden_dim_random_scale_factor_range","hidden_dim_random_scale_factor_range_max","hidden_dim_random_scale_factor_range_min","hidden_dim_scale_factor_fixed","hidden_layers_max","hidden_layers_min","parameters.absolute_dim_range.distribution","parameters.absolute_dim_range.max","parameters.absolute_dim_range.min","parameters.absolute_dim_range_max","parameters.absolute_dim_range_min","parameters.hidden_dim_initial_range.distribution","parameters.hidden_dim_initial_range.max","parameters.hidden_dim_initial_range.min","parameters.hidden_dim_initial_range_max","parameters.hidden_dim_initial_range_min","parameters.hidden_dim_random_scale_factor_range.distribution","parameters.hidden_dim_random_scale_factor_range.max","parameters.hidden_dim_random_scale_factor_range.min","parameters.hidden_dim_random_scale_factor_range_max","parameters.hidden_dim_random_scale_factor_range_min","parameters.hidden_dim_scale_factor_fixeds","parameters.hidden_layers_max","parameters.hidden_layers_min","parameters.randomize_hidden_dim_strategys","parameters.scaled_layerss","randomize_hidden_dim_strategy","scaled_layers","apply_penalty","huber_delta","loss_function","parameters.apply_penaltys","parameters.penalty_factor_max","parameters.penalty_factor_min","parameters.randomize_row_deletions","parameters.randomize_time_shifts","parameters.row_deletion_range_max","parameters.row_deletion_range_min","parameters.time_shift_range_max","parameters.time_shift_range_min","penalty_factor_max","penalty_factor_min","randomize_row_deletion","randomize_time_shift","row_deletion_range_max","row_deletion_range_min","time_shift_range_max","time_shift_range_min","epoch","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy","val_loss","model_architecture","hidden_layer_1_neurons","hidden_layer_2_neurons","hidden_layer_3_neurons","hidden_layer_4_neurons","hidden_layer_5_neurons","hidden_layer_6_neurons","hidden_layer_7_neurons","combined_metric","combined_metric_accuracy","combined_metric_loss","hidden_dim_scale_factor","penalty_factor"
"decent-sweep-3","failed","-","","","2024-08-18T01:59:02.000Z","37","b73e946b","gcu","99","0.4644913563809707","10000","","","0.07803074786901389","","","","std","","","","","","","","","","","sgd","none","","","","","","","","maintain","0.4304263785966583","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","6","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","false","","","","","","","","","","","","100","1","","","","","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 249 neurons
Hidden Layer 2: 249 neurons
Hidden Layer 3: 249 neurons
Hidden Layer 4: 249 neurons
Hidden Layer 5: 249 neurons
Hidden Layer 6: 249 neurons
Output Layer: 1 neuron","249","249","249","249","249","249","","","","","1.1353365075040744",""
"treasured-sweep-2","failed","-","","","2024-08-18T01:58:25.000Z","26","b73e946b","elish","38","0.5248963831457129","10000","","","0.016913479666975775","","","","std","","","","","","","","","","","adadelta","none","","","","","","","","compress","0.8843757970234717","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","4","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","true","","","","","","","","","","","","100","1","","","","","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 69 neurons
Hidden Layer 2: 36 neurons
Hidden Layer 3: 19 neurons
Hidden Layer 4: 10 neurons
Output Layer: 1 neuron","69","36","19","10","","","","","","","1.875842306426585",""
"mild-sweep-1","failed","-","","","2024-08-18T01:57:49.000Z","27","b73e946b","ncu","27","0.20696995599677293","10000","","","0.05455898728579051","","","","none","","","","","","","","","","","adamw","none","","","","","","","","maintain","0.13703895213397466","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","5","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","true","","true","","mse","","","","","","","","","","100","1","","","","","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 429 neurons
Hidden Layer 2: 429 neurons
Hidden Layer 3: 429 neurons
Hidden Layer 4: 429 neurons
Hidden Layer 5: 596 neurons
Output Layer: 1 neuron","429","429","429","429","596","","","","","","1.355383097087575","49.55863516350392"
"stellar-sweep-3","finished","-","","","2024-08-18T01:17:03.000Z","108","10spw6po","gelu","79","0.40948508509655585","10000","","","0.03874490641837172","","","","std","","","","","","","","","","","adadelta","sigmoid","","","","","","","","compress","0.4137933541547298","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","7","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","true","","mae","","","","","","","","","","100","1","","","","","","","299","0.659138908749026","0.11618628352880478","0.6879103613112328","0.09739994257688522","0.6589203539595692","0.11633532494306564","Input Layer: 10 neurons
Hidden Layer 1: 197 neurons
Hidden Layer 2: 186 neurons
Hidden Layer 3: 94 neurons
Hidden Layer 4: 87 neurons
Hidden Layer 5: 64 neurons
Hidden Layer 6: 63 neurons
Hidden Layer 7: 39 neurons
Output Layer: 1 neuron","197","186","94","87","64","63","39","","0.6686565413399427","0.10997385034958522","1.0543817652564311","43.94297810071499"
"logical-sweep-2","finished","-","","","2024-08-18T01:15:15.000Z","103","10spw6po","squ","75","0.2492734505872944","10000","","","0.05601760656322442","","","","std","","","","","","","","","","","adamax","none","","","","","","","","expand","0.6609573441714414","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","6","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","true","","true","","mae","","","","","","","","","","100","1","","","","","","","12","NaN","NaN","NaN","NaN","NaN","NaN","Input Layer: 10 neurons
Hidden Layer 1: 373 neurons
Hidden Layer 2: 589 neurons
Hidden Layer 3: 372 neurons
Hidden Layer 4: 588 neurons
Hidden Layer 5: 371 neurons
Hidden Layer 6: 586 neurons
Output Layer: 1 neuron","373","589","372","588","371","586","","","NaN","NaN","1.5816337809866756","79.90235502293733"
"gallant-sweep-1","finished","-","","","2024-08-18T01:14:04.000Z","67","10spw6po","squ","51","0.42596199080868696","10000","","","0.04193637989665735","","","","min-max","","","","","","","","","","","rmsprop","none","","","","","","","","compress","0.05333561149754059","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","3","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","true","","mae","","","","","","","","","","100","1","","","","","","","200","-126563105337.58817","1.6018219632946565e+22","-16602272609705.688","2.7563545580701693e+26","-127843720163.07372","1.6344016785389988e+22","Input Layer: 10 neurons
Hidden Layer 1: 505 neurons
Hidden Layer 2: 348 neurons
Hidden Layer 3: 239 neurons
Output Layer: 1 neuron","505","348","239","","","","","","-5618893145068.783","9.188927268114508e+25","1.4508152609950251","5.819129521499924"
"exalted-sweep-1","finished","-","","","2024-08-18T01:10:05.000Z","43","3m4vto83","squ","2","0.6979738697578504","10000","","","0.0009875559828636557","","","","std","","","","","","","","","","","adamax","none","","","","","","","","expand","0.8210294384938401","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","7","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","true","","true","","","","","","","","","","","","100","1","","","","","","","","","","","","","","Input Layer: 10 neurons
Hidden Layer 1: 269 neurons
Hidden Layer 2: 306 neurons
Hidden Layer 3: 268 neurons
Hidden Layer 4: 268 neurons
Hidden Layer 5: 268 neurons
Hidden Layer 6: 235 neurons
Hidden Layer 7: 267 neurons
Output Layer: 1 neuron","269","306","268","268","268","235","267","","","","1.1391116010396165",""
"light-sweep-3","finished","-","","","2024-08-18T01:04:25.000Z","71","59drajde","mish","62","0.5532978955426033","10000","","","0.0191587898434717","","","","min-max","","","","","","","","","","","adamw","sigmoid","","","","","","","","maintain","0.04798557193625307","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","2","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","false","","mae","","","","","","","","","","100","1","","","","","","","200","0.5256583258432188","0.2250000238418579","0.5256583101360169","0.2250000387430191","0.5256583258432188","0.2250000238418579","Input Layer: 10 neurons
Hidden Layer 1: 308 neurons
Hidden Layer 2: 308 neurons
Output Layer: 1 neuron","308","308","","","","","","","0.5256583206074849","0.22500002880891165","1.3076729116003736","0"
"serene-sweep-2","finished","-","","","2024-08-18T01:04:09.000Z","14","59drajde","dsu","26","0.6529609253637114","10000","","","0.07727457346638131","","","","none","","","","","","","","","","","asgd","sigmoid","","","","","","","","compress","0.5495811419072469","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","2","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","false","0.1639424538457216","huber","","","","","","","","","","100","1","","","","","","","232","0.9382712671048066","0.003810436464846134","0.9690320629833816","0.0009590131230652332","0.9374783933257655","0.003908951301127672","Input Layer: 10 neurons
Hidden Layer 1: 377 neurons
Hidden Layer 2: 218 neurons
Output Layer: 1 neuron","377","218","","","","","","","0.948260574471318","0.0028928002963463464","1.725545260595379","0"
"magic-sweep-1","finished","-","","","2024-08-18T01:01:59.000Z","129","59drajde","gelu","8","0.7279190178371207","10000","","","0.09241002308409994","","","","std","","","","","","","","","","","nadam","none","","","","","","","","compress","0.6470409815669864","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","6","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","true","","mae","","","","","","","","","","100","1","","","","","","","851","0.6352499843333341","0.133042573928833","0.6151832382180402","0.14808394014835358","0.6352499843333341","0.133042573928833","Input Layer: 10 neurons
Hidden Layer 1: 232 neurons
Hidden Layer 2: 135 neurons
Hidden Layer 3: 91 neurons
Hidden Layer 4: 46 neurons
Hidden Layer 5: 27 neurons
Hidden Layer 6: 16 neurons
Output Layer: 1 neuron","232","135","91","46","27","16","","","0.6285610689615695","0.1380563626686732","1.7147669905726746","11.40212394005524"
