"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","batch_size","dropout","epochs","hidden_dim1","hidden_dim2","learning_rate","method","model_type","normalization","normalization_method","parameters.activation_functions","parameters.batch_sizes","parameters.dropouts","parameters.epochss","parameters.hidden_dim1s","parameters.hidden_dim2s","parameters.learning_rates","parameters.normalization_methods","hidden_dim3","hidden_layers","optimizer","output_activation_function","parameters.hidden_dim3s","parameters.hidden_layerss","parameters.optimizers","parameters.output_activation_functions","hidden_dim_range","hidden_dim_range_max","hidden_dim_range_min","hidden_dim_strategy","momentum","nesterov","parameters.batch_size.distribution","parameters.batch_size.max","parameters.batch_size.min","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.hidden_dim_range.distribution","parameters.hidden_dim_range.max","parameters.hidden_dim_range.min","parameters.hidden_dim_range_max.distribution","parameters.hidden_dim_range_max.max","parameters.hidden_dim_range_max.min","parameters.hidden_dim_range_min.distribution","parameters.hidden_dim_range_min.max","parameters.hidden_dim_range_min.min","parameters.hidden_dim_strategys","parameters.hidden_layers.distribution","parameters.hidden_layers.max","parameters.hidden_layers.min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.momentum.distribution","parameters.momentum.max","parameters.momentum.min","parameters.nesterovs","absolute_dim_range","absolute_dim_range_max","absolute_dim_range_min","actual_hidden_layers","hidden_dim_initial_range","hidden_dim_initial_range_max","hidden_dim_initial_range_min","hidden_dim_random_scale_factor_range","hidden_dim_random_scale_factor_range_max","hidden_dim_random_scale_factor_range_min","hidden_dim_scale_factor_fixed","hidden_layers_max","hidden_layers_min","parameters.absolute_dim_range.distribution","parameters.absolute_dim_range.max","parameters.absolute_dim_range.min","parameters.absolute_dim_range_max","parameters.absolute_dim_range_min","parameters.hidden_dim_initial_range.distribution","parameters.hidden_dim_initial_range.max","parameters.hidden_dim_initial_range.min","parameters.hidden_dim_initial_range_max","parameters.hidden_dim_initial_range_min","parameters.hidden_dim_random_scale_factor_range.distribution","parameters.hidden_dim_random_scale_factor_range.max","parameters.hidden_dim_random_scale_factor_range.min","parameters.hidden_dim_random_scale_factor_range_max","parameters.hidden_dim_random_scale_factor_range_min","parameters.hidden_dim_scale_factor_fixeds","parameters.hidden_layers_max","parameters.hidden_layers_min","parameters.randomize_hidden_dim_strategys","parameters.scaled_layerss","randomize_hidden_dim_strategy","scaled_layers","epoch","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy","val_loss","model_architecture","hidden_layer_1_neurons","hidden_layer_2_neurons","hidden_layer_3_neurons","hidden_layer_4_neurons","hidden_layer_5_neurons","hidden_layer_6_neurons","hidden_layer_7_neurons"
"elated-sweep-3","finished","-","","","2024-07-31T00:24:46.000Z","207","bprx8wpd","mish","3","0.4536751159705464","10000","","","0.09622211072983518","","","","none","","","","","","","","","","","sgd","none","","","","","","","","expand","0.3776443148702987","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","4","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","true","","2156","0.9668844339696132","0.0010966407135128977","0.9353833755099832","0.004175308160483837","0.9665730757509196","0.001117359264753759","Input Layer: 10 neurons
Hidden Layer 1: 85 neurons
Hidden Layer 2: 126 neurons
Hidden Layer 3: 126 neurons
Hidden Layer 4: 187 neurons
Output Layer: 1 neuron","85","126","126","187","","",""
"silvery-sweep-6","finished","-","","","2024-07-30T03:13:47.000Z","854","xxeoz0mu","mish","53","0.4476439197366712","10000","","","0.09527498067278506","","","","none","","","","","","","","","","","adadelta","none","","","","","","","","maintain","0.8114664409919295","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","2","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","10000","0.9654989871140516","0.0011903198901563885","0.9631646210888792","0.0013568451395258307","0.9654463449835512","0.001193955074995756","Input Layer: 10 neurons
Hidden Layer 1: 300 neurons
Hidden Layer 2: 300 neurons
Output Layer: 1 neuron","300","300","","","","",""
"crimson-sweep-17","finished","-","","","2024-07-29T06:27:11.000Z","295","28r9axv2","swish","22","0.41026799542070785","5000","","","0.034957736710439426","","","","min-max","","","","","","","","","","","adamax","none","","","","","","","","compress","0.8353156955701878","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","4","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","297","0.9642985354440268","0.001274594571441412","0.8937677143993629","0.011285298503935335","0.9643262140580788","0.0012726190034300089","Input Layer: 10 neurons
Hidden Layer 1: 24 neurons
Hidden Layer 2: 13 neurons
Hidden Layer 3: 9 neurons
Hidden Layer 4: 6 neurons
Output Layer: 1 neuron","24","13","9","6","","",""
"crimson-sweep-15","finished","-","","","2024-07-29T23:43:29.000Z","35","3wj0g9tl","leaky_relu","55","0.6432103934995392","10000","","","0.017229021400085316","","","","none","","","","","","","","","","","nadam","none","","","","","","","","compress","0.049881738567659074","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","6","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","242","0.9638303544935498","0.0013082432560622692","0.9128390935040168","0.007597023621201515","0.9635602641564652","0.001327854348346591","Input Layer: 10 neurons
Hidden Layer 1: 162 neurons
Hidden Layer 2: 134 neurons
Hidden Layer 3: 111 neurons
Hidden Layer 4: 92 neurons
Hidden Layer 5: 76 neurons
Hidden Layer 6: 63 neurons
Output Layer: 1 neuron","162","134","111","92","76","63",""
"sunny-sweep-33","finished","-","","","2024-07-29T14:28:50.000Z","679","cxuwpl54","relu","32","0.2840303905678982","5000","","","0.01420922652533722","","","","min-max","","","","","","","","","","","sgd","none","","","","","","","","compress","0.3438643464746216","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","3","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","5000","0.9604369759375884","0.0015652328729629517","0.9334009074504112","0.004435439128428698","0.9602678639201354","0.0015786426374688745","Input Layer: 10 neurons
Hidden Layer 1: 214 neurons
Hidden Layer 2: 115 neurons
Hidden Layer 3: 62 neurons
Output Layer: 1 neuron","214","115","62","","","",""
"restful-sweep-35","finished","-","","","2024-07-29T14:42:46.000Z","458","cxuwpl54","gelu","57","0.6909224387870051","5000","","","0.045920229025131376","","","","std","","","","","","","","","","","adamw","none","","","","","","","","compress","0.81771193769776","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","4","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","528","0.9543747918087994","0.002081659622490406","0.919954614819197","0.0064072636887431145","0.9543962503467252","0.0020797019824385643","Input Layer: 10 neurons
Hidden Layer 1: 252 neurons
Hidden Layer 2: 162 neurons
Hidden Layer 3: 104 neurons
Hidden Layer 4: 52 neurons
Output Layer: 1 neuron","252","162","104","52","","",""
"sunny-sweep-8","finished","-","","","2024-07-29T18:24:28.000Z","963","zy9d9bjc","dsu","2","0.315301447025456","10000","","","0.00318962171182092","","","","std","","","","","","","","","","","adadelta","none","","","","","","","","maintain","0.3157558283780478","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","3","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","6741","0.938254164198838","0.003812548238784075","0.8923275748363662","0.011593351140618324","0.938165915336824","0.003823454026132822","Input Layer: 10 neurons
Hidden Layer 1: 53 neurons
Hidden Layer 2: 53 neurons
Hidden Layer 3: 53 neurons
Output Layer: 1 neuron","53","53","53","","","",""
"fiery-sweep-4","finished","-","","","2024-07-29T03:07:39.000Z","442","dxmnzeyx","mish","74","0.46219838190470813","500","","","0.000386746565402661","","","","std","","","","","","","","","","","nadam","none","","","","","","","","expand","0.38490575355047874","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","5","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","true","","258","0.9372701252927972","0.0039350371807813644","0.9362960084635388","0.0040581985376775265","0.9386943288772388","0.0037583853118121624","Input Layer: 10 neurons
Hidden Layer 1: 183 neurons
Hidden Layer 2: 309 neurons
Hidden Layer 3: 309 neurons
Hidden Layer 4: 309 neurons
Hidden Layer 5: 512 neurons
Output Layer: 1 neuron","183","309","309","309","512","",""
"pretty-sweep-18","finished","-","","","2024-07-29T13:09:21.000Z","836","cxuwpl54","leaky_relu","66","0.3410249504941556","5000","","","0.05045967216655652","","","","std","","","","","","","","","","","adadelta","none","","","","","","","","compress","0.18298985145962607","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","7","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","5000","0.935359688402299","0.0041783698834478855","0.8808441445439466","0.014198117889463902","0.9352833219177866","0.004188248421996832","Input Layer: 10 neurons
Hidden Layer 1: 74 neurons
Hidden Layer 2: 70 neurons
Hidden Layer 3: 52 neurons
Hidden Layer 4: 37 neurons
Hidden Layer 5: 35 neurons
Hidden Layer 6: 25 neurons
Hidden Layer 7: 13 neurons
Output Layer: 1 neuron","74","70","52","37","35","25","13"
"soft-sweep-18","finished","-","","","2024-07-29T06:32:12.000Z","733","28r9axv2","dsu","65","0.5535755295290026","5000","","","0.062473939570774586","","","","std","","","","","","","","","","","adadelta","none","","","","","","","","compress","0.3525441394626422","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","2","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","3820","0.9345181018698848","0.004287878982722759","0.926124787461438","0.005457547027617693","0.9348164569434076","0.004248894285410643","Input Layer: 10 neurons
Hidden Layer 1: 83 neurons
Hidden Layer 2: 70 neurons
Output Layer: 1 neuron","83","70","","","","",""
