"Name","State","Notes","User","Tags","Created","Runtime","Sweep","absolute_dim_range","absolute_dim_range_max","absolute_dim_range_min","activation_function","actual_hidden_layers","apply_penalty","batch_size","dropout","epochs","hidden_dim1","hidden_dim2","hidden_dim3","hidden_dim_initial","hidden_dim_initial_range","hidden_dim_initial_range_max","hidden_dim_initial_range_min","hidden_dim_random_scale_factor_range","hidden_dim_random_scale_factor_range_max","hidden_dim_random_scale_factor_range_min","hidden_dim_range","hidden_dim_range_max","hidden_dim_range_min","hidden_dim_scale_factor","hidden_dim_scale_factor_fixed","hidden_dim_strategy","hidden_layer_1_weight_init","hidden_layer_2_neurons","hidden_layer_2_scale_factor","hidden_layer_2_strategy","hidden_layer_2_weight_init","hidden_layer_3_neurons","hidden_layer_3_scale_factor","hidden_layer_3_strategy","hidden_layer_3_weight_init","hidden_layer_4_neurons","hidden_layer_4_scale_factor","hidden_layer_4_strategy","hidden_layer_4_weight_init","hidden_layer_5_neurons","hidden_layer_5_scale_factor","hidden_layer_5_strategy","hidden_layer_5_weight_init","hidden_layer_6_neurons","hidden_layer_6_scale_factor","hidden_layer_6_strategy","hidden_layer_6_weight_init","hidden_layer_7_neurons","hidden_layer_7_scale_factor","hidden_layer_7_strategy","hidden_layer_7_weight_init","hidden_layers","hidden_layers_max","hidden_layers_min","huber_delta","learning_rate","loss_function","method","model_type","momentum","nesterov","normalization","normalization_method","optimizer","output_activation_function","output_layer_weight_init","parameters.absolute_dim_range.distribution","parameters.absolute_dim_range.max","parameters.absolute_dim_range.min","parameters.absolute_dim_range_max","parameters.absolute_dim_range_min","parameters.activation_functions","parameters.apply_penaltys","parameters.batch_size.distribution","parameters.batch_size.max","parameters.batch_size.min","parameters.batch_sizes","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.dropouts","parameters.epochs","parameters.epochss","parameters.hidden_dim1s","parameters.hidden_dim2s","parameters.hidden_dim3s","parameters.hidden_dim_initial.distribution","parameters.hidden_dim_initial.max","parameters.hidden_dim_initial.min","parameters.hidden_dim_initial_range.distribution","parameters.hidden_dim_initial_range.max","parameters.hidden_dim_initial_range.min","parameters.hidden_dim_initial_range_max","parameters.hidden_dim_initial_range_min","parameters.hidden_dim_random_scale_factor_range.distribution","parameters.hidden_dim_random_scale_factor_range.max","parameters.hidden_dim_random_scale_factor_range.min","parameters.hidden_dim_random_scale_factor_range_max","parameters.hidden_dim_random_scale_factor_range_min","parameters.hidden_dim_range.distribution","parameters.hidden_dim_range.max","parameters.hidden_dim_range.min","parameters.hidden_dim_range_max.distribution","parameters.hidden_dim_range_max.max","parameters.hidden_dim_range_max.min","parameters.hidden_dim_range_min.distribution","parameters.hidden_dim_range_min.max","parameters.hidden_dim_range_min.min","parameters.hidden_dim_scale_factor.distribution","parameters.hidden_dim_scale_factor.max","parameters.hidden_dim_scale_factor.min","parameters.hidden_dim_scale_factor_fixeds","parameters.hidden_dim_strategys","parameters.hidden_layers.distribution","parameters.hidden_layers.max","parameters.hidden_layers.min","parameters.hidden_layerss","parameters.hidden_layers_max","parameters.hidden_layers_min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.learning_rates","parameters.loss_functions","parameters.momentum.distribution","parameters.momentum.max","parameters.momentum.min","parameters.nesterovs","parameters.normalization_methods","parameters.optimizers","parameters.output_activation_functions","parameters.penalty_factor.distribution","parameters.penalty_factor.max","parameters.penalty_factor.min","parameters.penalty_factor_max","parameters.penalty_factor_min","parameters.randomize_hidden_dim_strategys","parameters.randomize_row_deletions","parameters.randomize_time_shifts","parameters.row_deletion_range_max","parameters.row_deletion_range_min","parameters.scaled_layerss","parameters.time_shift_range_max","parameters.time_shift_range_min","parameters.weight_init_strategys","penalty_factor","penalty_factor_max","penalty_factor_min","randomize_hidden_dim_strategy","randomize_row_deletion","randomize_time_shift","row_deletion_range_max","row_deletion_range_min","scaled_layers","time_shift_range_max","time_shift_range_min","weight_init_strategy","combined_metric","combined_metric_accuracy","combined_metric_loss","epoch","hidden_layer_11_weight_init","hidden_layer_13_weight_init","hidden_layer_1_neurons","hidden_layer_9_weight_init","model_architecture","test_accuracy","test_loss","train_accuracy","train_loss","train_val_accuracy","train_val_loss","val_accuracy","val_loss"
"blooming-sweep-7","finished","-","","","2024-08-24T03:16:55.000Z","173","ovtczrgl","","1024","4","hardelish","7","false","31","0.717178673657231","10000","","","","77","","","","","","","","","","1.433379941227257","false","expand","Default (PyTorch)","110","1.433379941227257","expand","Default (PyTorch)","196","1.786849575940117","expand","Default (PyTorch)","264","1.3498936207625376","expand","Default (PyTorch)","360","1.366288814634339","expand","Default (PyTorch)","595","1.6539077036217609","expand","Default (PyTorch)","743","1.248742482133867","expand","Default (PyTorch)","7","","","","0.01575036979056148","mse","","","0.7647724728109349","true","","none","adam","sigmoid","Default (PyTorch)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.558604113534354","","","false","","","","","","","","uniform","","0.545687918807989","0.2573249548052748","17","","","77","","","0.827708513228942","0.029684356413781643","0.5340473235150281","0.21711189672350883","0.40467762159751247","0.3711452540010214","0.2753079196799968","0.5251786112785339"
"celestial-sweep-82","finished","-","","","2024-08-24T21:52:19.000Z","171","gi6zas44","","1024","4","selu","","false","48","0.5191184095049255","10000","","","","126","","","","","","","","","","1.2517028946840596","false","compress","LeCun","100","1.2517028946840596","compress","LeCun","","","","","","","","","","","","","","","","","","","","","2","","","","0.030413509541311803","mae","","","0.43157757650336176","true","","std","adamax","sigmoid","LeCun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.319906825938971","","","false","","","","","","","","uniform","","0.527336365195537","0.26853157704075176","17","","","","","","0.827691138107717","0.02969034388661385","0.37254857171488953","0.39369529485702515","0.377158978739447","0.38795219361782074","0.3817693857640044","0.38220909237861633"
"prime-sweep-8","finished","-","","","2024-08-23T23:10:41.000Z","193","3sxs2te7","","1024","4","selu","7","false","50","0.5507244124841199","10000","","","","","","512","8","","2","1.01","","","","1.4029674988254115","true","expand","Default (PyTorch)","562","","","Default (PyTorch)","788","","","Default (PyTorch)","1024","","","Default (PyTorch)","1024","","","Default (PyTorch)","1024","","","Default (PyTorch)","1024","","","Default (PyTorch)","","7","2","","0.04864074968743891","mae","","","0.390397780658587","true","","std","adamax","sigmoid","Xavier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","100","1","false","","","","","","","","","","0.4865510004212853","0.32179280805091065","17","","","401","","Input Layer: 10 neurons
Hidden Layer 1: 401 neurons
Hidden Layer 2: 562 neurons
Hidden Layer 3: 788 neurons
Hidden Layer 4: 1024 neurons
Hidden Layer 5: 1024 neurons
Hidden Layer 6: 1024 neurons
Hidden Layer 7: 1024 neurons
Output Layer: 1 neuron","0.827425845275171","0.02978183887898922","0.3259956037568521","0.45428192615509033","0.31611357799434237","0.46779829263687134","0.3062315522318326","0.48131465911865234"
"stellar-sweep-29","finished","-","","","2024-08-24T18:43:40.000Z","222","gi6zas44","","1024","4","elu","","false","33","0.5022801323190471","10000","","","","461","","","","","","","","","","1.7572009951811238","false","maintain","He","461","1.7572009951811238","maintain","Random","461","1.7572009951811238","maintain","Default (PyTorch)","461","1.7572009951811238","maintain","Default (PyTorch)","","","","","","","","","","","","","4","","","1.846067718015561","0.010260532123411006","huber","","","0.09105243388153678","false","","std","adam","sigmoid","Default (PyTorch)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7896092075746526","","","false","","","","","","","","individual","","0.667701186570116","0.12876129821718982","23","","","","","","0.8268415792665946","0.029983838670887053","0.49585993964408503","0.2541572004556656","0.5881309902218768","0.1781500279903412","0.6804020407996685","0.10214285552501678"
"fluent-sweep-10","finished","-","","","2024-08-25T04:19:06.000Z","171","uvrgdrnd","","1024","4","leaky_relu","","true","18","0.7414965263175162","10000","","","","30","","","","","","","","","","1.291932520236264","true","expand","Default (PyTorch)","38","1.291932520236264","expand","Default (PyTorch)","38","1.291932520236264","maintain","Default (PyTorch)","","","","","","","","","","","","","","","","","3","","","","0.03621065552216087","mae","","","0.30988220621647905","false","","none","sgd","sigmoid","Default (PyTorch)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.653242129139059","","","true","","","","","","","","uniform","","0.5860876598724803","0.2014789050444961","17","","","","","","0.8267089993156296","0.03002977091819048","0.5083122444163195","0.2417568489909172","0.4657769901509058","0.28720347210764885","0.4232417358854921","0.3326500952243805"
"sage-sweep-104","finished","-","","","2024-08-24T22:54:42.000Z","352","gi6zas44","","1024","4","relu","","false","34","0.7817742669197956","10000","","","","178","","","","","","","","","","1.7730681889062905","false","compress","Default (PyTorch)","100","1.7730681889062905","compress","Random","","","","","","","","","","","","","","","","","","","","","2","","","0.48630592753446666","0.0304574620397259","huber","","","0.7951827891513015","false","","std","rmsprop","sigmoid","Xavier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4438053577002385","","","false","","","","","","","","individual","","0.7278653926482977","0.0791835483784477","40","","","","","","0.8265469907057069","0.030085946433246136","0.6588799392932679","0.11636289581656456","0.6785245936195932","0.10373234935104848","0.6981692479459185","0.09110180288553238"
"sleek-sweep-15","finished","-","","","2024-08-23T13:56:25.000Z","185","sqmz01i2","","1024","4","squ","2","false","14","0.436038708301171","10000","","","","","","512","8","","2","1.01","","","","1.6209387042013566","false","compress","Random","293","","","Random","","","","","","","","","","","","","","","","","","","","","","7","2","1.7379425491198677","0.0965627572592622","huber","","","0.1402748714268356","true","","none","adamax","sigmoid","Default (PyTorch)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","100","1","true","","","","","","","","","","0.676930832381735","0.1153304125699732","19","","","475","","Input Layer: 10 neurons
Hidden Layer 1: 475 neurons
Hidden Layer 2: 293 neurons
Output Layer: 1 neuron","0.824761561212538","0.03070851042866707","0.609697156872371","0.15233630935351053","0.6030154679663334","0.15764136364062625","0.5963337790602958","0.162946417927742"
"wandering-sweep-68","finished","-","","","2024-08-25T17:32:15.000Z","174","3vqhfez0","","1024","4","leaky_relu","","false","30","0.4215110901550624","10000","","","","8","","","","","","","","","","1.445459857411273","false","compress","Default (PyTorch)","5","1.445459857411273","compress","Default (PyTorch)","9","1.829296480985245","expand","Default (PyTorch)","","","","","","","","","","","","","","","","","3","","","","0.04461022574151756","mse","","","0.1957551169537901","true","","none","adam","sigmoid","Random","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.608145178898784","","","true","","","","","","","","uniform","","0.794717454165207","0.04287042717138926","17","","","","","","0.823643745347224","0.0311015285551548","0.7586508926567351","0.05824939161539078","0.7802543085741984","0.04875487647950649","0.8018577244916618","0.03926036134362221"
"worthy-sweep-4","finished","-","","","2024-08-23T13:23:32.000Z","164","sqmz01i2","","1024","4","hardelish","6","true","12","0.22202084377415057","10000","","","","","","512","8","","2","1.01","","","","1.3770566789529743","false","maintain","Random","355","","","Random","355","","","Random","355","","","Random","355","","","Random","355","","","Random","","","","","","7","2","","0.08213292087560473","mse","","","0.4219872359564518","true","","none","sgd","sigmoid","Random","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1659268152961","100","1","false","","","","","","","","","","0.5872320112821352","0.1979351457001434","16","","","355","","Input Layer: 10 neurons
Hidden Layer 1: 355 neurons
Hidden Layer 2: 355 neurons
Hidden Layer 3: 355 neurons
Hidden Layer 4: 355 neurons
Hidden Layer 5: 355 neurons
Hidden Layer 6: 355 neurons
Output Layer: 1 neuron","0.8217963665179693","0.031756534986197946","0.4783921215369584","0.27207477887471515","0.46994983366421816","0.28102445105711615","0.4615075457914779","0.2899741232395172"
"brisk-sweep-20","finished","-","","","2024-08-25T14:46:07.000Z","233","3vqhfez0","","1024","4","elu","","false","32","0.36456006672662306","10000","","","","92","","","","","","","","","","1.115761339130214","true","expand","He","102","1.115761339130214","expand","He","113","1.115761339130214","expand","He","126","1.115761339130214","expand","He","","","","","","","","","","","","","4","","","0.3614994868731374","0.0651142393161779","huber","","","0.346096775620538","true","","std","nadam","none","Random","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.033033434430837","","","false","","","","","","","","uniform","","0.7487572319533627","0.06596422257522742","25","","","","","","0.8210752806972458","0.03201405517756939","0.6941722479416996","0.09353061392903328","0.7125982075814213","0.08293930627405643","0.731024167221143","0.07234799861907959"
