"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","batch_size","dropout","epochs","hidden_dim1","hidden_dim2","learning_rate","method","model_type","normalization","normalization_method","parameters.activation_functions","parameters.batch_sizes","parameters.dropouts","parameters.epochss","parameters.hidden_dim1s","parameters.hidden_dim2s","parameters.learning_rates","parameters.normalization_methods","hidden_dim3","hidden_layers","optimizer","output_activation_function","parameters.hidden_dim3s","parameters.hidden_layerss","parameters.optimizers","parameters.output_activation_functions","hidden_dim_range","hidden_dim_range_max","hidden_dim_range_min","hidden_dim_strategy","momentum","nesterov","parameters.batch_size.distribution","parameters.batch_size.max","parameters.batch_size.min","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.hidden_dim_range.distribution","parameters.hidden_dim_range.max","parameters.hidden_dim_range.min","parameters.hidden_dim_range_max.distribution","parameters.hidden_dim_range_max.max","parameters.hidden_dim_range_max.min","parameters.hidden_dim_range_min.distribution","parameters.hidden_dim_range_min.max","parameters.hidden_dim_range_min.min","parameters.hidden_dim_strategys","parameters.hidden_layers.distribution","parameters.hidden_layers.max","parameters.hidden_layers.min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.momentum.distribution","parameters.momentum.max","parameters.momentum.min","parameters.nesterovs","absolute_dim_range","absolute_dim_range_max","absolute_dim_range_min","actual_hidden_layers","hidden_dim_initial_range","hidden_dim_initial_range_max","hidden_dim_initial_range_min","hidden_dim_random_scale_factor_range","hidden_dim_random_scale_factor_range_max","hidden_dim_random_scale_factor_range_min","hidden_dim_scale_factor_fixed","hidden_layers_max","hidden_layers_min","parameters.absolute_dim_range.distribution","parameters.absolute_dim_range.max","parameters.absolute_dim_range.min","parameters.absolute_dim_range_max","parameters.absolute_dim_range_min","parameters.hidden_dim_initial_range.distribution","parameters.hidden_dim_initial_range.max","parameters.hidden_dim_initial_range.min","parameters.hidden_dim_initial_range_max","parameters.hidden_dim_initial_range_min","parameters.hidden_dim_random_scale_factor_range.distribution","parameters.hidden_dim_random_scale_factor_range.max","parameters.hidden_dim_random_scale_factor_range.min","parameters.hidden_dim_random_scale_factor_range_max","parameters.hidden_dim_random_scale_factor_range_min","parameters.hidden_dim_scale_factor_fixeds","parameters.hidden_layers_max","parameters.hidden_layers_min","parameters.randomize_hidden_dim_strategys","parameters.scaled_layerss","randomize_hidden_dim_strategy","scaled_layers","parameters.randomize_row_deletions","parameters.randomize_time_shifts","parameters.row_deletion_range_max","parameters.row_deletion_range_min","parameters.time_shift_range_max","parameters.time_shift_range_min","randomize_row_deletion","randomize_time_shift","row_deletion_range_max","row_deletion_range_min","time_shift_range_max","time_shift_range_min","epoch","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy","val_loss","model_architecture","hidden_layer_1_neurons","hidden_layer_2_neurons","hidden_layer_3_neurons","hidden_layer_4_neurons","hidden_layer_5_neurons","hidden_layer_6_neurons","hidden_layer_7_neurons","combined_metric","combined_metric_accuracy","combined_metric_loss","hidden_dim_scale_factor"
"summer-sweep-1","finished","-","","","2024-08-07T20:56:52.000Z","16","c4gtecvb","selu","4","0.7894702017757758","10000","","","0.04174748056006565","","","","none","","","","","","","","","","","adamw","none","","","","","","","","expand","0.17959241588472355","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","5","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","258","-28.902867045143537","894.1814575195312","-12907.259681304837","166623168","-28.902867045143537","894.1814575195312","Input Layer: 10 neurons
Hidden Layer 1: 314 neurons
Hidden Layer 2: 431 neurons
Hidden Layer 3: 431 neurons
Hidden Layer 4: 431 neurons
Hidden Layer 5: 431 neurons
Output Layer: 1 neuron","314","431","431","431","431","","","","-4321.688471798375","55541652.12097168","1.372930968555489"
"cerulean-sweep-3","finished","-","","","2024-08-07T21:42:03.000Z","120","2d0pnoxs","mish","78","0.4793650501890216","10000","","","0.0715190498624229","","","","std","","","","","","","","","","","rmsprop","none","","","","","","","","compress","0.6505930970964559","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","4","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","476","0.9352613077898916","0.004191098269075155","-16674.776923429985","278081536","0.9352613077898916","0.004191098269075155","Input Layer: 10 neurons
Hidden Layer 1: 419 neurons
Hidden Layer 2: 342 neurons
Hidden Layer 3: 322 neurons
Hidden Layer 4: 225 neurons
Output Layer: 1 neuron","419","342","322","225","","","","","-5557.635466938135","92693845.3361274","1.22208088162192"
"hearty-sweep-2","finished","-","","","2024-08-07T21:39:48.000Z","128","2d0pnoxs","swish","16","0.43141858377096354","10000","","","0.028474784236141016","","","","std","","","","","","","","","","","rmsprop","none","","","","","","","","expand","0.39631711848049495","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","6","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","810","-72810221958.668","5.30132842181612e+21","-110878187324.96667","1.229397242469216e+22","-73075567389.63495","5.340038549463229e+21","Input Layer: 10 neurons
Hidden Layer 1: 375 neurons
Hidden Layer 2: 422 neurons
Hidden Layer 3: 768 neurons
Hidden Layer 4: 1024 neurons
Hidden Layer 5: 1024 neurons
Hidden Layer 6: 1024 neurons
Output Layer: 1 neuron","375","422","768","1024","1024","1024","","","-85587992224.4232","7.645113131990503e+21","1.1270922280611773"
"deep-sweep-2","finished","-","","","2024-08-07T19:56:11.000Z","67","0b8x91hk","selu","97","0.5433601837027874","10000","","","0.08099038702129426","","","","min-max","","","","","","","","","","","rmsprop","none","","","","","","","","expand","0.4920509165952263","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","6","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","200","-1026672698984480.4","1.0540568308400796e+30","-1085271481798314","1.1778141892047104e+30","-1025270494742433.6","1.0511795873893966e+30","Input Layer: 10 neurons
Hidden Layer 1: 482 neurons
Hidden Layer 2: 883 neurons
Hidden Layer 3: 639 neurons
Hidden Layer 4: 639 neurons
Hidden Layer 5: 652 neurons
Hidden Layer 6: 910 neurons
Output Layer: 1 neuron","482","883","639","639","652","910","","","-1045738225175076","1.0943502024780622e+30","1.8323391821575945"
"glamorous-sweep-1","finished","-","","","2024-08-07T17:06:57.000Z","10","y4a4lopy","squ","37","0.3744538796678051","10000","","","0.06914475214303525","","","","none","","","","","","","","","","","rmsprop","none","","","","","","","","compress","0.5564353639592674","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","5","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","12","NaN","NaN","NaN","NaN","NaN","NaN","Input Layer: 10 neurons
Hidden Layer 1: 145 neurons
Hidden Layer 2: 85 neurons
Hidden Layer 3: 42 neurons
Hidden Layer 4: 26 neurons
Hidden Layer 5: 13 neurons
Output Layer: 1 neuron","145","85","42","26","13","","","","NaN","NaN","1.6959655139743417"
"light-sweep-2","finished","-","","","2024-08-07T20:17:18.000Z","107","rfkvx8q1","ncu","49","0.6894275847929501","10000","","","0.017953936930825767","","","","std","","","","","","","","","","","sgd","none","","","","","","","","expand","0.441616252515637","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","3","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","12","NaN","NaN","NaN","NaN","NaN","NaN","Input Layer: 10 neurons
Hidden Layer 1: 316 neurons
Hidden Layer 2: 561 neurons
Hidden Layer 3: 752 neurons
Output Layer: 1 neuron","316","561","752","","","","","","NaN","NaN","1.7758615617945237"
"celestial-sweep-2","finished","-","","","2024-08-07T18:59:35.000Z","8","b36cjroc","ncu","32","0.4256010216875199","10000","","","0.023478442728328653","","","","none","","","","","","","","","","","rmsprop","none","","","","","","","","expand","0.4009934964860076","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","3","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","12","NaN","NaN","NaN","NaN","NaN","NaN","Input Layer: 10 neurons
Hidden Layer 1: 177 neurons
Hidden Layer 2: 286 neurons
Hidden Layer 3: 456 neurons
Output Layer: 1 neuron","177","286","456","","","","","","NaN","NaN","1.6172154944208903"
"kind-sweep-2","finished","-","","","2024-08-07T19:07:56.000Z","61","azbkw6ds","elish","22","0.3572454885957981","10000","","","0.038307136853814094","","","","min-max","","","","","","","","","","","rmsprop","none","","","","","","","","expand","0.07641003146590267","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","7","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","12","NaN","NaN","NaN","NaN","NaN","NaN","Input Layer: 10 neurons
Hidden Layer 1: 139 neurons
Hidden Layer 2: 253 neurons
Hidden Layer 3: 453 neurons
Hidden Layer 4: 609 neurons
Hidden Layer 5: 943 neurons
Hidden Layer 6: 1024 neurons
Hidden Layer 7: 1024 neurons
Output Layer: 1 neuron","139","253","453","609","943","1024","1024","","NaN","NaN","1.8206784908934357"
"whole-sweep-1","finished","-","","","2024-08-07T19:07:40.000Z","11","azbkw6ds","squ","83","0.6330314357752307","10000","","","0.015546925782968587","","","","none","","","","","","","","","","","adamax","none","","","","","","","","expand","0.1892865154579148","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","6","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","12","NaN","NaN","NaN","NaN","NaN","NaN","Input Layer: 10 neurons
Hidden Layer 1: 454 neurons
Hidden Layer 2: 739 neurons
Hidden Layer 3: 786 neurons
Hidden Layer 4: 928 neurons
Hidden Layer 5: 1024 neurons
Hidden Layer 6: 1024 neurons
Output Layer: 1 neuron","454","739","786","928","1024","1024","","","NaN","NaN","1.6288788923868314"
"legendary-sweep-2","finished","-","","","2024-08-07T19:28:40.000Z","105","ltxgnj70","elish","63","0.42735216666388176","10000","","","0.04722070042862129","","","","std","","","","","","","","","","","adamw","none","","","","","","","","expand","0.1647475956241016","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","7","","512","8","","2","1.01","false","7","2","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","12","NaN","NaN","NaN","NaN","NaN","NaN","Input Layer: 10 neurons
Hidden Layer 1: 199 neurons
Hidden Layer 2: 313 neurons
Hidden Layer 3: 313 neurons
Hidden Layer 4: 571 neurons
Hidden Layer 5: 953 neurons
Hidden Layer 6: 953 neurons
Hidden Layer 7: 674 neurons
Output Layer: 1 neuron","199","313","313","571","953","953","674","","NaN","NaN","1.5754334911381824"
"divine-sweep-1","finished","-","","","2024-08-07T17:18:10.000Z","11","nm3f812l","squ","33","0.25671819875902624","10000","","","0.021691252548012893","","","","none","","","","","","","","","","","adamax","none","","","","","","","","maintain","0.17763434309512785","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","4","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","12","NaN","NaN","NaN","NaN","NaN","NaN","Input Layer: 10 neurons
Hidden Layer 1: 444 neurons
Hidden Layer 2: 444 neurons
Hidden Layer 3: 295 neurons
Hidden Layer 4: 443 neurons
Output Layer: 1 neuron","444","444","295","443","","","","","NaN","NaN","1.5023848016590748"
"wild-sweep-2","finished","-","","","2024-08-07T18:08:20.000Z","63","7eeq352u","ncu","71","0.6123011678429652","10000","","","0.0777605620227643","","","","min-max","","","","","","","","","","","asgd","none","","","","","","","","expand","0.8168361332468842","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024","4","4","","512","8","","2","1.01","true","7","2","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","","","","","","12","NaN","NaN","NaN","NaN","NaN","NaN","Input Layer: 10 neurons
Hidden Layer 1: 452 neurons
Hidden Layer 2: 731 neurons
Hidden Layer 3: 1024 neurons
Hidden Layer 4: 1024 neurons
Output Layer: 1 neuron","452","731","1024","1024","","","","","NaN","NaN","1.6189812706913873"
