"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","batch_size","dropout","epochs","hidden_dim1","hidden_dim2","learning_rate","method","model_type","normalization","normalization_method","parameters.activation_functions","parameters.batch_sizes","parameters.dropouts","parameters.epochss","parameters.hidden_dim1s","parameters.hidden_dim2s","parameters.learning_rates","parameters.normalization_methods","hidden_dim3","hidden_layers","optimizer","output_activation_function","parameters.hidden_dim3s","parameters.hidden_layerss","parameters.optimizers","parameters.output_activation_functions","hidden_dim_range","hidden_dim_range_max","hidden_dim_range_min","hidden_dim_strategy","momentum","nesterov","parameters.batch_size.distribution","parameters.batch_size.max","parameters.batch_size.min","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.hidden_dim_range.distribution","parameters.hidden_dim_range.max","parameters.hidden_dim_range.min","parameters.hidden_dim_range_max.distribution","parameters.hidden_dim_range_max.max","parameters.hidden_dim_range_max.min","parameters.hidden_dim_range_min.distribution","parameters.hidden_dim_range_min.max","parameters.hidden_dim_range_min.min","parameters.hidden_dim_strategys","parameters.hidden_layers.distribution","parameters.hidden_layers.max","parameters.hidden_layers.min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.momentum.distribution","parameters.momentum.max","parameters.momentum.min","parameters.nesterovs","absolute_dim_range","absolute_dim_range_max","absolute_dim_range_min","actual_hidden_layers","hidden_dim_initial_range","hidden_dim_initial_range_max","hidden_dim_initial_range_min","hidden_dim_random_scale_factor_range","hidden_dim_random_scale_factor_range_max","hidden_dim_random_scale_factor_range_min","hidden_dim_scale_factor_fixed","hidden_layers_max","hidden_layers_min","parameters.absolute_dim_range.distribution","parameters.absolute_dim_range.max","parameters.absolute_dim_range.min","parameters.absolute_dim_range_max","parameters.absolute_dim_range_min","parameters.hidden_dim_initial_range.distribution","parameters.hidden_dim_initial_range.max","parameters.hidden_dim_initial_range.min","parameters.hidden_dim_initial_range_max","parameters.hidden_dim_initial_range_min","parameters.hidden_dim_random_scale_factor_range.distribution","parameters.hidden_dim_random_scale_factor_range.max","parameters.hidden_dim_random_scale_factor_range.min","parameters.hidden_dim_random_scale_factor_range_max","parameters.hidden_dim_random_scale_factor_range_min","parameters.hidden_dim_scale_factor_fixeds","parameters.hidden_layers_max","parameters.hidden_layers_min","parameters.randomize_hidden_dim_strategys","parameters.scaled_layerss","randomize_hidden_dim_strategy","scaled_layers","epoch","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy","val_loss","model_architecture","hidden_layer_1_neurons","hidden_layer_2_neurons","hidden_layer_3_neurons","hidden_layer_4_neurons","hidden_layer_5_neurons"
"summer-sweep-7","finished","-","","","2024-07-28T18:05:00.000Z","197","cm8vco92","dsu","63","0.3157926042336007","500","","","0.09980470803933802","","","","std","","","","","","","","","","","sgd","none","","","","","","","","maintain","0.76866138802939","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","4","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","true","","82","","","0.9749468886540664","0.0006276583881117404","0.9927037337855176","0.0000532355006725993","Input Layer: 10 neurons
Hidden Layer 1: 77 neurons
Hidden Layer 2: 77 neurons
Hidden Layer 3: 77 neurons
Hidden Layer 4: 77 neurons
Output Layer: 1 neuron","77","77","77","77",""
"dashing-sweep-6","finished","-","","","2024-07-28T18:03:05.000Z","110","cm8vco92","softplus","27","0.5393086433435876","500","","","0.06126040687931267","","","","min-max","","","","","","","","","","","sgd","none","","","","","","","","maintain","0.20662844838840055","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","2","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","false","","31","-1503278051440.048","2.2598448999443943e+24","-671780095635.8254","4.5128849689382234e+23","-1503278051440.048","2.2598448999443943e+24","Input Layer: 10 neurons
Hidden Layer 1: 58 neurons
Hidden Layer 2: 58 neurons
Output Layer: 1 neuron","58","58","","",""
"copper-sweep-5","finished","-","","","2024-07-28T17:59:52.000Z","188","cm8vco92","swish","55","0.6032222545547776","500","","","0.09297817321416432","","","","min-max","","","","","","","","","","","asgd","none","","","","","","","","compress","0.7947973540194679","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","3","","256","8","","2","1.01","true","5","2","","","","","","","","","","","","","","","","","","","","","false","","87","0.9990096654710502","9.807624792301797e-7","0.9844705323518772","0.0002411643654340878","0.9990093213712262","9.814441455091585e-7","Input Layer: 10 neurons
Hidden Layer 1: 47 neurons
Hidden Layer 2: 27 neurons
Hidden Layer 3: 15 neurons
Output Layer: 1 neuron","47","27","15","",""
"rare-sweep-4","finished","-","","","2024-07-28T17:59:13.000Z","37","cm8vco92","elu","19","0.5473142889657994","500","","","0.07047985713712446","","","","none","","","","","","","","","","","adadelta","none","","","","","","","","maintain","0.08595224700526809","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","3","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","false","","8","0.7911247377831023","0.04362887516617775","0.635558576045965","0.13281755149364471","0.7891689851885835","0.04444971680641174","Input Layer: 10 neurons
Hidden Layer 1: 249 neurons
Hidden Layer 2: 249 neurons
Hidden Layer 3: 249 neurons
Output Layer: 1 neuron","249","249","249","",""
"earthy-sweep-3","finished","-","","","2024-07-28T17:57:21.000Z","110","cm8vco92","softplus","41","0.6967377177571875","500","","","0.043504154152124455","","","","none","","","","","","","","","","","adamw","none","","","","","","","","maintain","0.5948324828998423","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","4","","256","8","","2","1.01","true","5","2","","","","","","","","","","","","","","","","","","","","","false","","62","0.8126732712906761","0.035091303288936615","0.8138646473212315","0.03464636951684952","0.8126732712906761","0.035091303288936615","Input Layer: 10 neurons
Hidden Layer 1: 55 neurons
Hidden Layer 2: 55 neurons
Hidden Layer 3: 55 neurons
Hidden Layer 4: 55 neurons
Output Layer: 1 neuron","55","55","55","55",""
"northern-sweep-2","finished","-","","","2024-07-28T17:54:19.000Z","179","cm8vco92","squ","49","0.40474583579048096","500","","","0.09487795591144588","","","","std","","","","","","","","","","","adamax","none","","","","","","","","expand","0.27970629908574185","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","2","","256","8","","2","1.01","true","5","2","","","","","","","","","","","","","","","","","","","","","false","","68","-1380.613368493516","1908855.5","-2973.140884356355","8845514","-1374.7392103883642","1892658.375","Input Layer: 10 neurons
Hidden Layer 1: 154 neurons
Hidden Layer 2: 160 neurons
Output Layer: 1 neuron","154","160","","",""
"stoic-sweep-1","finished","-","","","2024-07-28T17:50:59.000Z","197","cm8vco92","gelu","76","0.5105067686900203","500","","","0.0328486887489868","","","","std","","","","","","","","","","","nadam","none","","","","","","","","maintain","0.15812228422485575","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","4","2","","256","8","","2","1.01","false","5","2","","","","","","","","","","","","","","","","","","","","","true","","83","0.9855294211965836","0.0002093976509058848","0.9363586693582054","0.004050218965858221","0.9857448055273702","0.0002032105694524944","Input Layer: 10 neurons
Hidden Layer 1: 50 neurons
Hidden Layer 2: 50 neurons
Output Layer: 1 neuron","50","50","","",""
