procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 28680440  91288 1046100    0    0     0    52  198 1851  0  0 100  0  0 2024-05-16 19:32:17
 0  0      0 28679432  91288 1046112    0    0     0   176  192 1885  0  0 100  0  0 2024-05-16 19:32:18
 0  0      0 28679432  91288 1046116    0    0     0     0  155 1817  0  0 100  0  0 2024-05-16 19:32:19
 0  0      0 28679432  91288 1046116    0    0     0     0  145 1733  0  0 100  0  0 2024-05-16 19:32:20
 0  0      0 28679432  91288 1046120    0    0     0     0  144 1763  0  0 100  0  0 2024-05-16 19:32:21
 0  0      0 28679180  91288 1046120    0    0     0     0  152 1795  0  0 100  0  0 2024-05-16 19:32:22
 0  0      0 28678172  91296 1046164    0    0    44    96  183 1831  0  0 100  0  0 2024-05-16 19:32:23
 0  0      0 28677920  91296 1046168    0    0     0     0  149 1753  0  0 100  0  0 2024-05-16 19:32:24
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 2  0      0 28677920  91296 1046176    0    0     0     0  165 1853  0  0 100  0  0 2024-05-16 19:32:25
 0  0      0 28676512  91296 1046176    0    0     0     0  158 1826  0  0 100  0  0 2024-05-16 19:32:26
 0  0      0 28676512  91296 1046176    0    0     0     0  156 1750  0  0 100  0  0 2024-05-16 19:32:27
 0  0      0 28675756  91304 1046184    0    0     0   220  166 1794  0  0 100  0  0 2024-05-16 19:32:28
 0  0      0 28675756  91304 1046184    0    0     0     0  148 1723  0  0 100  0  0 2024-05-16 19:32:29
 0  0      0 28675252  91304 1046188    0    0     0     0  142 1719  0  0 100  0  0 2024-05-16 19:32:30
 0  0      0 28674748  91304 1046188    0    0     0     0  151 1734  0  0 100  0  0 2024-05-16 19:32:31
 0  0      0 28674748  91304 1046192    0    0     0     0  148 1705  0  0 100  0  0 2024-05-16 19:32:32
 0  0      0 28674748  91312 1046200    0    0     0    32  164 1737  0  0 100  0  0 2024-05-16 19:32:33
 0  0      0 28674748  91312 1046200    0    0     0    40  140 1742  0  0 100  0  0 2024-05-16 19:32:34
 0  0      0 28674496  91312 1046208    0    0     0     0  159 1808  0  0 100  0  0 2024-05-16 19:32:35
 0  0      0 28674496  91312 1046208    0    0     0     0  133 1694  0  0 100  0  0 2024-05-16 19:32:36
 0  0      0 28674496  91312 1046212    0    0     0     0  141 1770  0  0 100  0  0 2024-05-16 19:32:37
 0  0      0 28674496  91320 1046208    0    0     0    52  162 1759  0  0 100  0  0 2024-05-16 19:32:38
 0  0      0 28674496  91320 1046212    0    0     0   176  153 1694  0  0 100  0  0 2024-05-16 19:32:39
 0  0      0 28674244  91320 1046220    0    0     0     0  137 1754  0  0 100  0  0 2024-05-16 19:32:40
 0  0      0 28674244  91320 1046224    0    0     0     0  153 1748  0  0 100  0  0 2024-05-16 19:32:41
 0  0      0 28674244  91320 1046228    0    0     0     0  166 1853  0  0 100  0  0 2024-05-16 19:32:42
 0  0      0 28674244  91320 1046232    0    0     0     0  149 1715  0  0 100  0  0 2024-05-16 19:32:43
 0  0      0 28674244  91328 1046224    0    0     0    68  150 1741  0  0 100  0  0 2024-05-16 19:32:44
 0  0      0 28673992  91328 1046232    0    0     0     0  155 1757  0  0 100  0  0 2024-05-16 19:32:45
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 28673992  91328 1046236    0    0     0     0  138 1734  0  0 100  0  0 2024-05-16 19:32:46
 0  0      0 28673992  91328 1046236    0    0     0     0  150 1797  0  0 100  0  0 2024-05-16 19:32:47
 0  0      0 28673992  91328 1046236    0    0     0     0  143 1733  0  0 100  0  0 2024-05-16 19:32:48
 0  0      0 28673740  91336 1046244    0    0     0    44  145 1745  0  0 100  0  0 2024-05-16 19:32:49
 0  0      0 28673740  91336 1046252    0    0     0   172  135 1684  0  0 100  0  0 2024-05-16 19:32:50
 0  0      0 28673488  91336 1046252    0    0     0     0  139 1705  0  0 100  0  0 2024-05-16 19:32:51
 0  0      0 28673488  91336 1046256    0    0     0     0  173 1853  0  0 100  0  0 2024-05-16 19:32:52
 0  0      0 28673488  91336 1046256    0    0     0     0  149 1710  0  0 100  0  0 2024-05-16 19:32:53
 0  0      0 28673488  91344 1046252    0    0     0    32  158 1770  0  0 100  0  0 2024-05-16 19:32:54
 0  0      0 28673488  91344 1046260    0    0     0    32  146 1747  0  0 100  0  0 2024-05-16 19:32:55
 0  0      0 28673108  91344 1046264    0    0     0     0  171 1799  0  0 100  0  0 2024-05-16 19:32:56
 0  0      0 28673248  91344 1046264    0    0     0     0  166 1833  0  0 100  0  0 2024-05-16 19:32:57
 0  0      0 28673248  91344 1046264    0    0     0     0  150 1764  0  0 100  0  0 2024-05-16 19:32:58
 0  0      0 28673248  91352 1046264    0    0     0    44  176 1783  0  0 100  0  0 2024-05-16 19:32:59
 0  0      0 28673248  91352 1046264    0    0     0   168  134 1724  0  0 100  0  0 2024-05-16 19:33:00
 0  0      0 28672996  91352 1046276    0    0     0     0  153 1728  0  0 100  0  0 2024-05-16 19:33:01
 2  0      0 28672520  91352 1046276    0    0     0     0  177 1854  0  0 100  0  0 2024-05-16 19:33:02
 0  0      0 30301320  91352 1046572    0    0   292     0  379 2212  1  0 99  0  0 2024-05-16 19:33:03
 0  0      0 30301320  91352 1046576    0    0     0     0  162 1812  0  0 100  0  0 2024-05-16 19:33:04
 0  0      0 30300816  91360 1046576    0    0     0    64  172 1892  0  0 100  0  0 2024-05-16 19:33:05
 0  0      0 30300816  91360 1046576    0    0     0     0  173 1784  0  0 100  0  0 2024-05-16 19:33:06
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30300564  91360 1046584    0    0     0     0  158 1875  0  0 100  0  0 2024-05-16 19:33:07
 0  0      0 30300564  91360 1046592    0    0     0     0  135 1685  0  0 100  0  0 2024-05-16 19:33:08
 0  0      0 30300564  91360 1046592    0    0     0     0  169 1738  0  0 100  0  0 2024-05-16 19:33:09
 0  0      0 30300564  91368 1046588    0    0     0   216  145 1743  0  0 100  0  0 2024-05-16 19:33:10
 0  0      0 30300564  91368 1046596    0    0     0     0  146 1734  0  0 100  0  0 2024-05-16 19:33:11
 0  0      0 30300564  91368 1046600    0    0     0     0  132 1701  0  0 100  0  0 2024-05-16 19:33:12
 0  0      0 30300312  91368 1046600    0    0     0     0  142 1768  0  0 100  0  0 2024-05-16 19:33:13
 0  0      0 30298396  91368 1046600    0    0     0     0  153 1747  0  0 100  0  0 2024-05-16 19:33:14
 0  0      0 30298396  91376 1046608    0    0     0    40  165 1847  0  0 100  0  0 2024-05-16 19:33:15
 0  0      0 30298648  91376 1046612    0    0     0   176  184 1863  0  0 100  0  0 2024-05-16 19:33:16
 0  0      0 30505004  91376 1046616    0    0     0     0  270 1947  1  0 99  0  0 2024-05-16 19:33:17
 0  0      0 30505004  91376 1046616    0    0     0     0  100 1290  0  0 100  0  0 2024-05-16 19:33:18
 0  0      0 30504520  91376 1046616    0    0     0     0   98 1320  0  0 100  0  0 2024-05-16 19:33:19
 0  0      0 30729252  91388 1046620    0    0     0    80  295 1764  0  0 100  0  0 2024-05-16 19:33:20
 0  0      0 30984180  91388 958084    0    0     0    52  116  565  0  0 99  0  0 2024-05-16 19:33:21
 1  0      0 30853108  91388 958088    0    0     0     0   74  464  0  0 100  0  0 2024-05-16 19:33:22
 0  0      0 30983928  91388 958088    0    0     0     0   61  410  0  0 99  0  0 2024-05-16 19:33:23
 0  0      0 30981840  91388 958092    0    0     0     0   85  468  0  0 100  0  0 2024-05-16 19:33:24
 0  0      0 30981840  91400 958084    0    0     0    84   79  512  0  0 100  0  0 2024-05-16 19:33:25
 0  0      0 30988192  91400 958096    0    0     0    76   83  508  0  0 100  0  0 2024-05-16 19:33:26
 0  0      0 30988192  91400 958100    0    0     0     0   72  475  0  0 100  0  0 2024-05-16 19:33:27
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30987940  91400 958108    0    0     0     0   76  453  0  0 100  0  0 2024-05-16 19:33:28
 0  0      0 30987940  91400 958104    0    0     0     0   65  442  0  0 100  0  0 2024-05-16 19:33:29
 0  0      0 30987940  91400 958112    0    0     0     0   84  530  0  0 100  0  0 2024-05-16 19:33:30
 0  0      0 30987940  91408 958104    0    0     0    40   76  459  0  0 100  0  0 2024-05-16 19:33:31
 0  0      0 30987940  91408 958116    0    0     0    40   74  433  0  0 100  0  0 2024-05-16 19:33:32
 0  0      0 30987688  91408 958124    0    0     0     0   65  426  0  0 100  0  0 2024-05-16 19:33:33
 0  0      0 30987688  91408 958120    0    0     0     0   78  501  0  0 100  0  0 2024-05-16 19:33:34
 0  0      0 30985644  91408 958120    0    0     0     0   82  486  0  0 100  0  0 2024-05-16 19:33:35
 1  0      0 30986712  91416 958128    0    0     0    48  105  532  0  0 100  0  0 2024-05-16 19:33:36
 0  0      0 30986712  91416 958128    0    0     0    44   57  435  0  0 100  0  0 2024-05-16 19:33:37
 0  0      0 30986712  91416 958128    0    0     0     0   58  419  0  0 100  0  0 2024-05-16 19:33:38
 0  0      0 30986460  91416 958128    0    0     0     0   63  434  0  0 100  0  0 2024-05-16 19:33:39
 0  0      0 30986460  91416 958128    0    0     0     0   71  525  0  0 100  0  0 2024-05-16 19:33:40
 0  0      0 30986712  91424 958120    0    0     0    52   69  461  0  0 100  0  0 2024-05-16 19:33:41
 0  0      0 30986712  91424 958128    0    0     0    44   70  444  0  0 100  0  0 2024-05-16 19:33:42
 0  0      0 30986712  91424 958128    0    0     0     0   81  445  0  0 100  0  0 2024-05-16 19:33:43
 0  0      0 30986712  91424 958128    0    0     0     0   65  401  0  0 100  0  0 2024-05-16 19:33:44
 0  0      0 30984432  91424 958132    0    0     0     0   76  456  0  0 100  0  0 2024-05-16 19:33:45
